Outliers for BigSolDB:
Index: 15, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.1268
Index: 16, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.13888
Index: 17, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.15454
Index: 18, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.16817
Index: 19, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.18671
Index: 20, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.21191
Index: 21, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.25724
Index: 28, SMILES: CC1(C)NC(=O)NC1=O, Value: 0.1224
Index: 29, SMILES: CC1(C)NC(=O)NC1=O, Value: 0.1354
Index: 30, SMILES: CC1(C)NC(=O)NC1=O, Value: 0.1498
Index: 176, SMILES: CSCCC(NC(C)=O)C(=O)O, Value: 0.14101
Index: 177, SMILES: CSCCC(NC(C)=O)C(=O)O, Value: 0.18661
Index: 178, SMILES: CSCCC(NC(C)=O)C(=O)O, Value: 0.26161
Index: 229, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.1166
Index: 230, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.1476
Index: 231, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.1753
Index: 232, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.2366
Index: 233, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.2928
Index: 234, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.3586
Index: 235, SMILES: OCC(O)COc1ccc(Cl)cc1, Value: 0.4424
Index: 287, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2278
Index: 288, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2383
Index: 289, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2501
Index: 290, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2622
Index: 291, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2772
Index: 292, SMILES: c1cnc2[nH]ccc2c1, Value: 0.2927
Index: 293, SMILES: c1cnc2[nH]ccc2c1, Value: 0.3102
Index: 294, SMILES: c1cnc2[nH]ccc2c1, Value: 0.3303
Index: 295, SMILES: c1cnc2[nH]ccc2c1, Value: 0.3512
Index: 296, SMILES: c1cnc2[nH]ccc2c1, Value: 0.3719
Index: 327, SMILES: O=C(O)c1cccc([N+](=O)[O-])c1O, Value: 0.1197
Index: 328, SMILES: O=C(O)c1cccc([N+](=O)[O-])c1O, Value: 0.1398
Index: 329, SMILES: O=C(O)c1cccc([N+](=O)[O-])c1O, Value: 0.1635
Index: 348, SMILES: CCOC(=O)[C@@H]1CSCN1.Cl, Value: 0.141648
Index: 350, SMILES: CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O, Value: 0.149947
Index: 351, SMILES: CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O, Value: 0.195917
Index: 352, SMILES: CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O, Value: 0.240239
Index: 353, SMILES: CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O, Value: 0.297314
Index: 386, SMILES: O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1, Value: 0.146271
Index: 405, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.1874
Index: 406, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.1901
Index: 407, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.1939
Index: 408, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.1975
Index: 409, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.2017
Index: 410, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.2066
Index: 411, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.2119
Index: 412, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.2174
Index: 413, SMILES: CC(C)(c1ccc(O)cc1)c1ccc(O)cc1, Value: 0.2229
Index: 471, SMILES: CC(=O)N1CCC[C@H]1C(=O)O, Value: 0.12232
Index: 472, SMILES: CC(=O)N1CCC[C@H]1C(=O)O, Value: 0.16571
Index: 473, SMILES: CC(=O)N1CCC[C@H]1C(=O)O, Value: 0.20965
Index: 474, SMILES: CC(=O)N1CCC[C@H]1C(=O)O, Value: 0.29147
Index: 475, SMILES: CC(=O)N1CCC[C@H]1C(=O)O, Value: 0.4055
Index: 482, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.1159
Index: 483, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.1437
Index: 484, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.1728
Index: 485, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.2033
