descriptor_name,R2score
MQNs,0.916277
PEOE_VSA_ALL_ind,0.910642
Chi_ALL_ind,0.909404
SMR_VSA_ALL_SUM,0.904668
NumValenceElectrons,0.903899
SlogP_VSA_ALL_sum,0.903701
SlogP_VSA_ALL_ind,0.901273
CalcLabuteASA,0.899727
SMR_VSA_ALL_IND,0.896021
ExactMolWt,0.894214
Chi_ALL_sum,0.889511
HeavyAtomCount,0.887604
PEOE_VSA_ALL_sum,0.887405
MolWt,0.886421
Chi1,0.885918
MolMR,0.88582
ChiN_,0.882525
VSA_EState_ALL_sum,0.880304
Chi0v,0.879558
ChiNv_,0.878811
Kappa2,0.878186
PEOE_VSA6,0.876436
Kappa1,0.874302
BertzCT,0.86683
VSA_EState_ALL_ind,0.858761
CalcPhi,0.85672
Chi0,0.856268
Ipc,0.855916
Chi0n,0.852647
Chi2v,0.849248
EState_VSA_EState6,0.842802
Chi4v,0.841235
WHIM,0.841177
NumHAcceptors,0.839658
Chi1v,0.839336
AUTOCORR2D,0.839326
Chi1n,0.83816
EState_VSA_EState2,0.835794
PMI_ALL_ind,0.835332
SMR_VSA9,0.834331
PEOE_VSA7,0.834101
GETAWAY,0.833681
PMI3,0.832272
SlogP_VSA12,0.828591
SMR_VSA10,0.828281
PEOE_VSA8,0.827759
SMR_VSA5,0.826054
SMR_VSA1,0.823111
EState_VSA_EState10,0.822797
SlogP_VSA10,0.822725
NumAliphaticRings,0.822488
SlogP_VSA4,0.821089
SMR_VSA7,0.820751
RingCount,0.819508
RDF,0.818406
PEOE_VSA4,0.818385
PEOE_VSA13,0.817546
SpherocityIndex,0.8168
MolLogP,0.815904
NumRotatableBonds,0.81589
PMI2,0.815709
SlogP_VSA5,0.813992
EState_VSA_EState4,0.813429
NumHDonors,0.813371
MORSE,0.813102
PEOE_VSA9,0.812929
SlogP_VSA8,0.812374
Kappa_all_ind,0.812287
HallKierAlpha,0.811294
BCUT2D,0.810904
AUTOCORR3D,0.810868
NumSaturatedRings,0.810855
SlogP_VSA1,0.810311
SlogP_VSA7,0.810214
PMI_ALL_sum,0.810118
SlogP_VSA3,0.810073
SlogP_VSA6,0.807736
Chi4n,0.806688
EState_VSA_EState5,0.805537
TPSA,0.804702
PMI1,0.804235
EState_VSA_EState7,0.803748
NHOHCount,0.803188
NPR_ALL_ind,0.802192
SMR_VSA4,0.801687
PEOE_VSA11,0.801646
PEOE_VSA1,0.800127
NPR1,0.799741
PEOE_VSA14,0.799231
SMR_VSA6,0.797939
CalcNumAmideBonds,0.797385
Chi2n,0.796939
NOCount,0.796515
EState_VSA_EState8,0.796098
NPR2,0.796077
Asphericity,0.796021
SlogP_VSA2,0.795672
CalcNumBridgeheadAtoms,0.795283
Eccentricity,0.795032
SMR_VSA2,0.792339
Chi3v,0.79229
PEOE_VSA3,0.790026
CalcNumSpiroAtoms,0.788317
EState_VSA_EState1,0.788251
PEOE_VSA12,0.787102
PBF,0.786537
PEOE_VSA2,0.785483
NumAromaticRings,0.782588
Chi3n,0.781492
SlogP_VSA11,0.78083
PEOE_VSA10,0.779931
InertialShapeFactor,0.778862
SMR_VSA8,0.778798
PEOE_VSA5,0.778359
NumHeteroatoms,0.776899
EState_VSA_EState3,0.775289
BalabanJ,0.774532
NPR_ALL_sum,0.768005
