descriptor,time_estimation
Original,24.740880489349365
ExactMolWt,25.302780628204346
MolWt,24.940162897109985
MolLogP,24.818565368652344
MolMR,25.450186014175415
TPSA,25.057082176208496
NumRotatableBonds,25.474689245224
HeavyAtomCount,25.14789366722107
NumHAcceptors,25.458735942840576
NumHDonors,25.055970907211304
NumHeteroatoms,25.621039390563965
NHOHCount,24.804499626159668
NOCount,24.90782594680786
RingCount,24.481815099716187
NumAromaticRings,25.13134217262268
NumSaturatedRings,24.910058736801147
NumAliphaticRings,25.34831404685974
CalcLabuteASA,25.609031677246094
NumValenceElectrons,24.64348030090332
BalabanJ,25.403783798217773
BertzCT,24.92320704460144
Ipc,25.174376964569092
Kappa1,25.323940992355347
Kappa2,24.666756868362427
Kappa3,25.134373903274536
Kappa_all_sum,25.833729028701782
Kappa_all_ind,25.21378445625305
Chi0,25.254775762557983
Chi0n,24.955159425735474
Chi0v,24.56412982940674
Chi1,25.33625626564026
Chi1n,25.936156749725342
Chi1v,24.78796672821045
Chi2n,25.488234043121338
Chi2v,24.808157444000244
Chi3n,24.781164407730103
Chi3v,24.889039516448975
Chi4n,25.361558437347412
Chi4v,24.860733032226562
ChiN_,25.183638334274292
ChiNv_,24.99799108505249
Chi_ALL_sum,25.371626615524292
Chi_ALL_ind,25.237909078598022
CalcPhi,25.78735613822937
HallKierAlpha,24.97389006614685
CalcNumAmideBonds,25.09719729423523
FractionCSP3,25.051138162612915
CalcNumSpiroAtoms,24.719942092895508
CalcNumBridgeheadAtoms,26.133694648742676
PEOE_VSA1,24.889224529266357
PEOE_VSA2,24.800854921340942
PEOE_VSA3,25.37590503692627
PEOE_VSA4,25.094096660614014
PEOE_VSA5,25.356265544891357
PEOE_VSA6,24.65653157234192
PEOE_VSA7,25.581745386123657
PEOE_VSA8,25.100906372070312
PEOE_VSA9,24.984261512756348
PEOE_VSA10,24.87466788291931
PEOE_VSA11,24.605437517166138
PEOE_VSA12,25.074541807174683
PEOE_VSA13,25.33313250541687
PEOE_VSA14,25.135993719100952
PEOE_VSA_ALL_sum,25.020174980163574
PEOE_VSA_ALL_ind,24.861000776290894
SMR_VSA1,25.449921369552612
SMR_VSA2,25.057016849517822
SMR_VSA3,25.204976320266724
SMR_VSA4,25.420005559921265
SMR_VSA5,25.330641508102417
SMR_VSA6,24.855677127838135
SMR_VSA7,24.715247631072998
SMR_VSA8,25.552096843719482
SMR_VSA9,24.766002893447876
SMR_VSA10,24.882283926010132
SMR_VSA_ALL_SUM,25.46995735168457
SMR_VSA_ALL_IND,24.969398498535156
SlogP_VSA1,25.082656383514404
SlogP_VSA2,25.647164344787598
SlogP_VSA3,25.69554328918457
SlogP_VSA4,24.951457500457764
SlogP_VSA5,25.279662370681763
SlogP_VSA6,24.648830890655518
SlogP_VSA7,24.671242237091064
SlogP_VSA8,24.91418719291687
SlogP_VSA9,24.853687047958374
SlogP_VSA10,25.17789387702942
SlogP_VSA11,25.49427103996277
SlogP_VSA12,24.72492790222168
SlogP_VSA_ALL_sum,25.498449563980103
SlogP_VSA_ALL_ind,24.805524110794067
EState_VSA_EState1,25.157397508621216
EState_VSA_EState2,24.982656002044678
EState_VSA_EState3,25.277795553207397
EState_VSA_EState4,24.796443700790405
EState_VSA_EState5,25.148576021194458
EState_VSA_EState6,25.287027835845947
EState_VSA_EState7,24.87671732902527
EState_VSA_EState8,25.177432775497437
EState_VSA_EState9,25.11192536354065
EState_VSA_EState10,25.00607991218567
VSA_EState_ALL_sum,25.168711185455322
VSA_EState_ALL_ind,26.04604721069336
Asphericity,25.12051749229431
PBF,25.81596326828003
PMI1,24.56288981437683
PMI2,25.213539838790894
PMI3,25.043264389038086
PMI_ALL_sum,25.215407371520996
PMI_ALL_ind,24.38719153404236
NPR1,25.455086946487427
NPR2,24.607949256896973
NPR_ALL_sum,24.779460430145264
NPR_ALL_ind,25.738958597183228
RadiusOfGyration,24.827626705169678
InertialShapeFactor,24.84635043144226
Eccentricity,25.125468730926514
SpherocityIndex,24.96504497528076
MQNs,24.94881319999695
AUTOCORR2D,25.62750792503357
AUTOCORR3D,25.31942367553711
RDF,24.84499168395996
BCUT2D,25.339208602905273
MORSE,24.796823024749756
WHIM,25.34164023399353
GETAWAY,24.863815307617188
