split_type,dataset,fingerprint,model,training,r2,rmse,mae,mse,n_samples,r2_std,rmse_std,r2_mean_folds,rmse_mean_folds
ac,de,avalon,DNN,cv,0.5970568156973091,1.4824802869746283,1.050333539281951,2.197747801268376,225,0.007461799935842551,0.01332589147975233,0.57487172809846,1.522686099376617
ac,de,avalon,DNN,simple,0.6076808055857535,1.4628062202070264,1.0486271908860736,2.139802037876368,225,,,,
ac,de,avalon,LightGBM,cv,0.5893837600894809,1.4965288064148807,1.0478973155776614,2.2395984684295476,225,0.009245628560109555,0.01652295352810024,0.5748179244396863,1.5227511242994394
ac,de,avalon,LightGBM,simple,0.5904713595784928,1.4945455639019085,1.0451811456362168,2.2336664425788735,225,,,,
ac,de,avalon,RandomForest,cv,0.5340620718474791,1.5941568591516837,1.164147188197531,2.5413360915803613,225,0.01610665128872196,0.02719016986919454,0.5217485799151426,1.614855255103215
ac,de,avalon,RandomForest,simple,0.5413128175291616,1.5817043981189638,1.156928312239859,2.5017888030288735,225,,,,
ac,de,avalon,Ridge,cv,0.023693841022004558,2.3075973659604445,1.6895946580021104,5.325005603387581,225,0.11300065612241075,0.11149177026509424,-0.40087083956855113,2.7619289933561033
ac,de,avalon,Ridge,simple,-0.20124042099531847,2.559658273364548,1.882763523726156,6.551850476403579,225,,,,
ac,de,avalon,SVR,cv,0.29569055788669985,1.9599670729918195,1.4319496738165385,3.8414709272121206,225,0.01367547105267176,0.01897260656536402,0.29283498732460267,1.963844680029275
ac,de,avalon,SVR,simple,0.32523196574910473,1.9184225484688022,1.3922949153478128,3.6803450744735335,225,,,,
ac,de,avalon,XGBoost,cv,0.5741359754651483,1.5240615165328224,1.0747542755889892,2.3227635061763268,225,0.015191686169429256,0.026365633854334266,0.539856921571739,1.5839932003065382
ac,de,avalon,XGBoost,simple,0.5589592582599852,1.5509806334525393,1.0892099765394794,2.40554092534484,225,,,,
ac,de,maccs,DNN,cv,0.6177054538296851,1.4439962694273487,0.9715879793363148,2.0851252261201,225,0.02711496330419158,0.048997828638879685,0.5902935187030308,1.4940668130068768
ac,de,maccs,DNN,simple,0.6104010861029388,1.4577259625997214,1.0266264373503788,2.1249649820372847,225,,,,
ac,de,maccs,LightGBM,cv,0.5907781628209006,1.493985630736785,1.050143559949157,2.2319930648479893,225,0.010513405772026202,0.01886336055640307,0.578031823329251,1.5169570859227188
ac,de,maccs,LightGBM,simple,0.5848709956022576,1.5047299284075146,1.0509181644226249,2.264212157445284,225,,,,
ac,de,maccs,RandomForest,cv,0.5827811081780787,1.5085128105772738,1.094417072796713,2.275610899675746,225,0.01954833968142613,0.03495904379357489,0.5697171393412532,1.5315491349784813
ac,de,maccs,RandomForest,simple,0.5936803891392516,1.488678485573186,1.0828450143091315,2.216163633408475,225,,,,
ac,de,maccs,Ridge,cv,0.4292512464788981,1.7643693545367325,1.2965583883506542,3.112999219228366,225,0.010164321321174286,0.015485724370250805,0.4099753841400865,1.7938490855113582
ac,de,maccs,Ridge,simple,0.42633090861897127,1.7688774506211575,1.3021165524068894,3.128927435316006,225,,,,
ac,de,maccs,SVR,cv,0.4766199448622779,1.6895677231498067,1.2339414774328379,2.854639091109622,225,0.0071253341764768935,0.011443643432628289,0.47164887791291454,1.6975339506464497
ac,de,maccs,SVR,simple,0.5051400961809969,1.6428887406168307,1.1897769677835823,2.6990834140455555,225,,,,
ac,de,maccs,XGBoost,cv,0.6034444636802755,1.470682852452561,1.0369824697346157,2.1629080524980013,225,0.01697647161249564,0.030573519802691605,0.575151242395037,1.5219366804057566
ac,de,maccs,XGBoost,simple,0.6235193250704401,1.4329741769963025,1.0211756925215987,2.0534149919382303,225,,,,
ac,de,morgan,DNN,cv,0.49404765006815643,1.6611996414985155,1.1851945176702077,2.759584248914796,225,0.013770475917553168,0.022211014247428138,0.4746052439914756,1.6926707945941266
ac,de,morgan,DNN,simple,0.5150092984808414,1.626423819727544,1.1406461918865312,2.6452544413771344,225,,,,
ac,de,morgan,LightGBM,cv,0.3762929453481104,1.8444094903020776,1.2887187934687396,3.4018463679163697,225,0.036593238577442136,0.052462689839344,0.3573288698449094,1.8715043693992606
ac,de,morgan,LightGBM,simple,0.3810147992518933,1.8374145573541414,1.289788475126571,3.376092255576915,225,,,,
ac,de,morgan,RandomForest,cv,0.44008795548320234,1.747539194201614,1.250098782761905,3.0538932352708263,225,0.020690969071760733,0.03161568179570796,0.4242089933651494,1.7718637965708766
ac,de,morgan,RandomForest,simple,0.46021292253642465,1.7158458224816535,1.2221557328042332,2.944126886527742,225,,,,
ac,de,morgan,Ridge,cv,0.272050927546886,1.9925880367088926,1.5039085958755156,3.9704070840353993,225,0.0717267825884701,0.09027504707909553,0.15558347983585366,2.1441778409312895
ac,de,morgan,Ridge,simple,0.09792033000699141,2.2181426257713324,1.676278674403802,4.9201567082637405,225,,,,
ac,de,morgan,SVR,cv,0.10033174604896655,2.215175901053607,1.7043412844975003,4.907004272608661,225,0.008781293200579104,0.010789169138100355,0.09731026597510979,2.2188663177792853
ac,de,morgan,SVR,simple,0.14430675378402225,2.1603597244619897,1.648703252667818,4.667154139077483,225,,,,
ac,de,morgan,XGBoost,cv,0.5119793224996694,1.631496444927269,1.1498192935894016,2.661780649810318,225,0.018483757318632034,0.030074039203803686,0.47671176079691147,1.6891518159619323
ac,de,morgan,XGBoost,simple,0.4534698079297955,1.7265298823550401,1.2174253766030736,2.980905434664909,225,,,,
ac,hu,avalon,DNN,cv,0.6212754508366785,1.3706415110016597,0.993065520164001,1.8786581516809124,258,0.013497079506256292,0.023607899393466178,0.6035316104396472,1.4021836206417855
ac,hu,avalon,DNN,simple,0.6159655830666912,1.3802165341026271,0.9974102363868278,1.9049976810102687,258,,,,
ac,hu,avalon,LightGBM,cv,0.6320995523319652,1.3509127797105058,0.9906791780944535,1.8249653383851658,258,0.016839963810726426,0.030276473607013996,0.6184529123928758,1.3754063587551304
ac,hu,avalon,LightGBM,simple,0.6408829044313884,1.3346893405069638,0.9644959784409368,1.7813956356629137,258,,,,
ac,hu,avalon,RandomForest,cv,0.5874434708623215,1.4305527756674596,1.071665649414969,2.046481243969873,258,0.012539661275209963,0.02149802579968186,0.5768116772133631,1.4487090638242501
ac,hu,avalon,RandomForest,simple,0.5952081992344257,1.417026609089484,1.0480883268454197,2.0079644108676415,258,,,,
ac,hu,avalon,Ridge,cv,-0.049054247799444894,2.281188246762526,1.5725678482156926,5.2038198171674885,258,0.143453205694808,0.13544533645490744,-0.37091765359949497,2.604241458636878
ac,hu,avalon,Ridge,simple,-0.055306447222863486,2.287975911212009,1.5934349500530152,5.234833770286421,258,,,,
ac,hu,avalon,SVR,cv,0.4149661391786442,1.7035412476203815,1.299629192812495,2.9020527823440063,258,0.006006103106444045,0.008719873212419143,0.4122014183209302,1.7075394893401445
ac,hu,avalon,SVR,simple,0.44136899429674303,1.6646566511821541,1.259300512405964,2.7710817663249836,258,,,,
ac,hu,avalon,XGBoost,cv,0.6189175815451267,1.3749015715067334,0.9992891538252895,1.8903543313316853,258,0.02461091682848942,0.04227421248040623,0.5882308864213377,1.4285615738885826
ac,hu,avalon,XGBoost,simple,0.5977374020230787,1.4125927699287286,1.0178755883225636,1.9954183336549178,258,,,,
ac,hu,maccs,DNN,cv,0.6168597541243157,1.3786087759852739,0.9669309465621794,1.9005621572236149,258,0.020723643079155862,0.036211795600581104,0.5974207702729044,1.412684567464431
ac,hu,maccs,DNN,simple,0.6314100273449323,1.3521781384220868,0.9575496612431468,1.8283857180266203,258,,,,
ac,hu,maccs,LightGBM,cv,0.62105774762295,1.3710353991101547,0.9653261541256726,1.879738065613141,258,0.008089473085888746,0.014426589844875848,0.6101509388117445,1.3905513370489457
ac,hu,maccs,LightGBM,simple,0.6264252072136404,1.3612908773710488,0.9662970345596276,1.85311285281364,258,,,,
ac,hu,maccs,RandomForest,cv,0.6177464771899577,1.377012555898952,0.9935985794692578,1.8961635791033644,258,0.011028320244334068,0.019542003038737307,0.6079459401301122,1.3944164100363197
ac,hu,maccs,RandomForest,simple,0.6252979800151873,1.3633431147461539,0.9824596780146817,1.8587044485257442,258,,,,
ac,hu,maccs,Ridge,cv,0.49428970668020156,1.5838463522848336,1.1396761117170517,2.5085692676459734,258,0.013627955794506597,0.021046638226877006,0.47597130804281207,1.6121397217669802
ac,hu,maccs,Ridge,simple,0.49352327448395605,1.5850461016918627,1.1388121802583415,2.512371144488571,258,,,,
ac,hu,maccs,SVR,cv,0.4931606288050895,1.585613459710574,1.1751022005854606,2.5141700436153362,258,0.009915241067308641,0.015426000352182709,0.48912252023532965,1.5918426639116408
ac,hu,maccs,SVR,simple,0.5067095272983975,1.5642764815084231,1.1478081797992374,2.446960910600372,258,,,,
ac,hu,maccs,XGBoost,cv,0.6109579379745473,1.3891861065803224,0.980149493759368,1.929838038715795,258,0.024825245295160017,0.04306786586511995,0.5869875900667332,1.430694863902972
ac,hu,maccs,XGBoost,simple,0.6130324213545222,1.385477387457913,0.9759785387070143,1.9195475911572035,258,,,,
ac,hu,morgan,DNN,cv,0.5749115801865834,1.452117599598567,1.0556504223076988,2.108645523063904,258,0.009399496122994233,0.01569284705269586,0.5586499997597448,1.4795487872088535
ac,hu,morgan,DNN,simple,0.5870216159775515,1.4312839863510056,1.034182301609553,2.048573849584826,258,,,,
ac,hu,morgan,LightGBM,cv,0.5141556179714741,1.5524254170873868,1.1508535681704055,2.4100246756189465,258,0.023380127357429375,0.03694891204492777,0.491472321310389,1.5878222975717513
ac,hu,morgan,LightGBM,simple,0.5184396162848142,1.5455659022684132,1.1354477035369135,2.388773958254774,258,,,,
ac,hu,morgan,RandomForest,cv,0.4981673335530896,1.5777624505845562,1.157904603451458,2.4893343504745844,258,0.013486344971263766,0.021009165841715274,0.48314716591904894,1.6010622441641893
ac,hu,morgan,RandomForest,simple,0.5038642448526511,1.5687813412966405,1.1436053137689184,2.4610748968004863,258,,,,
ac,hu,morgan,Ridge,cv,0.30123399456445654,1.8617786097874147,1.3539331674348911,3.4662195918619587,258,0.05960688549764895,0.0708755940643277,0.12690766697425623,2.0798893480929146
ac,hu,morgan,Ridge,simple,0.07049645720754305,2.1472750441539286,1.5632745513512432,4.610790115246256,258,,,,
ac,hu,morgan,SVR,cv,0.22190825769986744,1.9646154503252837,1.5047645883528589,3.8597138676568172,258,0.00846934143998269,0.01068837330446552,0.21959801374482918,1.967500841455338
ac,hu,morgan,SVR,simple,0.25747668767351295,1.9191865823713399,1.4644352104798055,3.6832771379541835,258,,,,
ac,hu,morgan,XGBoost,cv,0.5343880130086553,1.519757265415765,1.095137063463619,2.309662145784004,258,0.012666553439593515,0.02018362504002461,0.5041984650750659,1.5681229617148438
ac,hu,morgan,XGBoost,simple,0.5105339022970314,1.5582009333368307,1.1323364753525182,2.4279901486517708,258,,,,
