descriptor_name,R2score
SlogP_VSA_ALL_ind,0.790047
MQNs,0.76909
PEOE_VSA_ALL_ind,0.766384
MolMR,0.757289
CalcLabuteASA,0.748187
PEOE_VSA6,0.742715
VSA_EState_ALL_ind,0.738531
ChiN_,0.736013
ExactMolWt,0.733332
PEOE_VSA_ALL_sum,0.729656
NumValenceElectrons,0.727649
PEOE_VSA7,0.726714
Chi_ALL_sum,0.726086
SMR_VSA_ALL_IND,0.724783
SMR_VSA_ALL_SUM,0.724352
MolWt,0.720043
BertzCT,0.719449
SlogP_VSA_ALL_sum,0.71873
ChiNv_,0.714925
Ipc,0.711891
SlogP_VSA5,0.710513
SlogP_VSA6,0.709669
BCUT2D,0.708443
Kappa3,0.708192
SMR_VSA7,0.706133
Chi0n,0.705509
PEOE_VSA8,0.705018
Chi1v,0.702921
Chi1n,0.700107
HallKierAlpha,0.700029
Kappa1,0.697357
Chi_ALL_ind,0.696511
Kappa2,0.693879
SMR_VSA5,0.692262
NPR_ALL_sum,0.68968
Kappa_all_ind,0.689634
Asphericity,0.689265
VSA_EState_ALL_sum,0.688823
RadiusOfGyration,0.688532
Chi1,0.686162
Kappa_all_sum,0.684342
Chi2v,0.684047
Chi3n,0.683966
SlogP_VSA2,0.683594
NumAromaticRings,0.683359
Chi0,0.682889
EState_VSA_EState10,0.682512
EState_VSA_EState9,0.680853
SMR_VSA10,0.677306
PEOE_VSA3,0.677014
GETAWAY,0.675239
MORSE,0.674703
MolLogP,0.673126
PEOE_VSA10,0.672568
PMI_ALL_sum,0.67036
Chi0v,0.667904
