,descriptor_name,R2score
0,Original,0.816708
1,ExactMolWt,0.898864
2,MolWt,0.932996
3,MolLogP,0.879854
4,MolMR,0.937017
5,TPSA,0.863744
6,NumRotatableBonds,0.855346
7,HeavyAtomCount,0.923922
8,NumHAcceptors,0.830003
9,NumHDonors,0.807841
10,NumHeteroatoms,0.827366
11,NHOHCount,0.824711
12,NOCount,0.793082
13,RingCount,0.778066
14,NumAromaticRings,0.793514
15,NumSaturatedRings,0.795967
16,NumAliphaticRings,0.726789
17,CalcLabuteASA,0.928775
18,NumValenceElectrons,0.898152
19,BalabanJ,0.80721
20,BertzCT,0.827938
21,Ipc,0.90779
22,Kappa1,0.898058
23,Kappa2,0.856171
24,Kappa3,0.672364
25,Kappa_all_sum,0.886515
26,Kappa_all_ind,0.906555
27,Chi0,0.917675
28,Chi0n,0.882343
29,Chi0v,0.906464
30,Chi1,0.826332
31,Chi1n,0.85398
32,Chi1v,0.840791
33,Chi2n,0.822804
34,Chi2v,0.85692
35,Chi3n,0.824315
36,Chi3v,0.796696
37,Chi4n,0.862366
38,Chi4v,0.840865
39,ChiN_,0.891644
40,ChiNv_,0.913525
41,Chi_ALL_sum,0.939217
42,Chi_ALL_ind,0.941884
43,CalcPhi,0.832363
44,HallKierAlpha,0.850049
45,CalcNumAmideBonds,0.829618
46,FractionCSP3,0.831651
47,CalcNumSpiroAtoms,0.840247
48,CalcNumBridgeheadAtoms,0.796767
49,PEOE_VSA1,0.828022
50,PEOE_VSA2,0.778468
51,PEOE_VSA3,0.799766
52,PEOE_VSA4,0.807849
53,PEOE_VSA5,0.801786
54,PEOE_VSA6,0.87291
55,PEOE_VSA7,0.851473
56,PEOE_VSA8,0.796819
57,PEOE_VSA9,0.77555
58,PEOE_VSA10,0.805613
59,PEOE_VSA11,0.789343
60,PEOE_VSA12,0.79052
61,PEOE_VSA13,0.83249
62,PEOE_VSA14,0.784888
63,PEOE_VSA_ALL_sum,0.949039
64,PEOE_VSA_ALL_ind,0.942304
65,SMR_VSA1,0.753329
66,SMR_VSA2,0.817541
67,SMR_VSA3,0.853999
68,SMR_VSA4,0.795527
69,SMR_VSA5,0.864949
70,SMR_VSA6,0.78565
71,SMR_VSA7,0.851086
72,SMR_VSA8,0.81614
73,SMR_VSA9,0.826682
74,SMR_VSA10,0.847455
75,SMR_VSA_ALL_SUM,0.945677
76,SMR_VSA_ALL_IND,0.939259
77,SlogP_VSA1,0.801072
78,SlogP_VSA2,0.805473
79,SlogP_VSA3,0.815573
80,SlogP_VSA4,0.832962
81,SlogP_VSA5,0.885353
82,SlogP_VSA6,0.864294
83,SlogP_VSA7,0.792926
84,SlogP_VSA8,0.822678
85,SlogP_VSA9,0.824013
86,SlogP_VSA10,0.831146
87,SlogP_VSA11,0.777196
88,SlogP_VSA12,0.850173
89,SlogP_VSA_ALL_sum,0.937349
90,SlogP_VSA_ALL_ind,0.933737
91,EState_VSA_EState1,0.804317
92,EState_VSA_EState2,0.808477
93,EState_VSA_EState3,0.843765
94,EState_VSA_EState4,0.802905
95,EState_VSA_EState5,0.832963
96,EState_VSA_EState6,0.797598
97,EState_VSA_EState7,0.823747
98,EState_VSA_EState8,0.778032
99,EState_VSA_EState9,0.817314
100,EState_VSA_EState10,0.884367
101,VSA_EState_ALL_sum,0.902937
102,VSA_EState_ALL_ind,0.920697
103,Asphericity,0.801195
104,PBF,0.832065
105,PMI1,0.863199
106,PMI2,0.832049
107,PMI3,0.844263
108,PMI_ALL_sum,0.859989
109,PMI_ALL_ind,0.857781
110,NPR1,0.820205
111,NPR2,0.806362
112,NPR_ALL_sum,0.841666
113,NPR_ALL_ind,0.810677
114,RadiusOfGyration,0.868447
115,InertialShapeFactor,0.537943
116,Eccentricity,0.74273
117,SpherocityIndex,0.769344
118,MQNs,0.931768
119,AUTOCORR2D,0.884624
120,AUTOCORR3D,0.817891
121,RDF,0.841609
122,BCUT2D,0.858356
123,MORSE,0.816132
124,WHIM,0.844736
125,GETAWAY,0.822919
