,descriptor_name,R2score
0,Original,0.731802
1,ExactMolWt,0.839436
2,MolWt,0.758009
3,MolLogP,0.796799
4,MolMR,0.855444
5,TPSA,0.731748
6,NumRotatableBonds,0.74441
7,HeavyAtomCount,0.784005
8,NumHAcceptors,0.781668
9,NumHDonors,0.698153
10,NumHeteroatoms,0.75595
11,NHOHCount,0.764164
12,NOCount,0.75045
13,RingCount,0.652421
14,NumAromaticRings,0.776889
15,NumSaturatedRings,0.729985
16,NumAliphaticRings,0.77019
17,CalcLabuteASA,0.856825
18,NumValenceElectrons,0.859831
19,BalabanJ,0.735801
20,BertzCT,0.751932
21,Ipc,0.811967
22,Kappa1,0.783442
23,Kappa2,0.810683
24,Kappa3,0.749573
25,Kappa_all_sum,0.814611
26,Kappa_all_ind,0.810815
27,Chi0,0.792477
28,Chi0n,0.727028
29,Chi0v,0.725297
30,Chi1,0.790619
31,Chi1n,0.796182
32,Chi1v,0.798424
33,Chi2n,0.814866
34,Chi2v,0.75943
35,Chi3n,0.782719
36,Chi3v,0.73716
37,Chi4n,0.785988
38,Chi4v,0.735617
39,ChiN_,0.857575
40,ChiNv_,0.811492
41,Chi_ALL_sum,0.843478
42,Chi_ALL_ind,0.858088
43,CalcPhi,0.800886
44,HallKierAlpha,0.789835
45,CalcNumAmideBonds,0.716647
46,FractionCSP3,0.750658
47,CalcNumSpiroAtoms,0.719054
48,CalcNumBridgeheadAtoms,0.761408
49,PEOE_VSA1,0.585754
50,PEOE_VSA2,0.558292
51,PEOE_VSA3,0.740694
52,PEOE_VSA4,0.790659
53,PEOE_VSA5,0.718887
54,PEOE_VSA6,0.832372
55,PEOE_VSA7,0.809867
56,PEOE_VSA8,0.770361
57,PEOE_VSA9,0.761661
58,PEOE_VSA10,0.636182
59,PEOE_VSA11,0.77168
60,PEOE_VSA12,0.73483
61,PEOE_VSA13,0.77449
62,PEOE_VSA14,0.67959
63,PEOE_VSA_ALL_sum,0.859537
64,PEOE_VSA_ALL_ind,0.828664
65,SMR_VSA1,0.708406
66,SMR_VSA2,0.721253
67,SMR_VSA3,0.633689
68,SMR_VSA4,0.74193
69,SMR_VSA5,0.782558
70,SMR_VSA6,0.745829
71,SMR_VSA7,0.747868
72,SMR_VSA8,0.752434
73,SMR_VSA9,0.718547
74,SMR_VSA10,0.751967
75,SMR_VSA_ALL_SUM,0.867878
76,SMR_VSA_ALL_IND,0.835858
77,SlogP_VSA1,0.768028
78,SlogP_VSA2,0.763355
79,SlogP_VSA3,0.757258
80,SlogP_VSA4,0.651634
81,SlogP_VSA5,0.821868
82,SlogP_VSA6,0.797024
83,SlogP_VSA7,0.735458
84,SlogP_VSA8,0.754691
85,SlogP_VSA9,0.733944
86,SlogP_VSA10,0.767005
87,SlogP_VSA11,0.790414
88,SlogP_VSA12,0.732971
89,SlogP_VSA_ALL_sum,0.846719
90,SlogP_VSA_ALL_ind,0.864891
91,EState_VSA_EState1,0.726282
92,EState_VSA_EState2,0.757994
93,EState_VSA_EState3,0.77125
94,EState_VSA_EState4,0.705192
95,EState_VSA_EState5,0.688149
96,EState_VSA_EState6,0.749361
97,EState_VSA_EState7,0.740779
98,EState_VSA_EState8,0.751679
99,EState_VSA_EState9,0.747773
100,EState_VSA_EState10,0.799538
101,VSA_EState_ALL_sum,0.743005
102,VSA_EState_ALL_ind,0.805856
103,Asphericity,0.731893
104,PBF,0.695296
105,PMI1,0.776673
106,PMI2,0.74887
107,PMI3,0.777488
108,PMI_ALL_sum,0.7674
109,PMI_ALL_ind,0.735243
110,NPR1,0.66396
111,NPR2,0.7243
112,NPR_ALL_sum,0.563049
113,NPR_ALL_ind,0.738081
114,RadiusOfGyration,0.682768
115,InertialShapeFactor,0.758984
116,Eccentricity,0.665063
117,SpherocityIndex,0.725877
118,MQNs,0.847783
119,AUTOCORR2D,0.822108
120,AUTOCORR3D,0.687749
121,RDF,0.69501
122,BCUT2D,0.737128
123,MORSE,0.684984
124,WHIM,0.704113
125,GETAWAY,0.698087
