Descriptor_Name,R2_Score
Original,0.645635
ExactMolWt,0.0
MolWt,0.443215
MolLogP,0.684123
MolMR,0.598126
TPSA,0.566208
NumRotatableBonds,0.628963
HeavyAtomCount,0.606616
NumHAcceptors,0.647368
NumHDonors,0.647476
NumHeteroatoms,0.584463
NHOHCount,0.65209
NOCount,0.63212
RingCount,0.641844
NumAromaticRings,0.642962
NumSaturatedRings,0.638575
NumAliphaticRings,0.631993
CalcLabuteASA,0.552959
NumValenceElectrons,0.431685
BalabanJ,0.637787
BertzCT,0.615061
Ipc,0.63959
Kappa1,0.648378
Kappa2,0.659471
Kappa3,0.624753
Kappa_all_sum,0.620121
Kappa_all_ind,0.626219
Chi0,0.610094
Chi0n,0.641393
Chi0v,0.658284
Chi1,0.641978
Chi1n,0.670011
Chi1v,0.660983
Chi2n,0.650456
Chi2v,0.661454
Chi3n,0.65301
Chi3v,0.659689
Chi4n,0.652527
Chi4v,0.655639
ChiN_,0.642733
ChiNv_,0.612869
Chi_ALL_sum,0.485035
Chi_ALL_ind,0.463244
CalcPhi,0.644058
HallKierAlpha,0.653025
CalcNumAmideBonds,0.651036
FractionCSP3,0.642527
CalcNumSpiroAtoms,0.638109
CalcNumBridgeheadAtoms,0.601875
PEOE_VSA1,0.647711
PEOE_VSA2,0.662092
PEOE_VSA3,0.630947
PEOE_VSA4,0.66353
PEOE_VSA5,0.637974
PEOE_VSA6,0.666907
PEOE_VSA7,0.680686
PEOE_VSA8,0.622654
PEOE_VSA9,0.656398
PEOE_VSA10,0.647867
PEOE_VSA11,0.648487
PEOE_VSA12,0.619845
PEOE_VSA13,0.650081
PEOE_VSA14,0.645757
PEOE_VSA_ALL_sum,0.606497
PEOE_VSA_ALL_ind,0.610793
SMR_VSA1,0.601387
SMR_VSA2,0.633158
SMR_VSA3,0.635146
SMR_VSA4,0.629355
SMR_VSA5,0.667643
SMR_VSA6,0.634486
SMR_VSA7,0.601779
SMR_VSA8,0.639935
SMR_VSA9,0.620178
SMR_VSA10,0.643675
SMR_VSA_ALL_SUM,0.464734
SMR_VSA_ALL_IND,0.643215
SlogP_VSA1,0.627635
SlogP_VSA2,0.646474
SlogP_VSA3,0.628724
SlogP_VSA4,0.653487
SlogP_VSA5,0.675747
SlogP_VSA6,0.62724
SlogP_VSA7,0.647989
SlogP_VSA8,0.626361
SlogP_VSA9,0.621524
SlogP_VSA10,0.661623
SlogP_VSA11,0.592049
SlogP_VSA12,0.632361
SlogP_VSA_ALL_sum,0.380378
SlogP_VSA_ALL_ind,0.678112
EState_VSA_EState1,0.642237
EState_VSA_EState2,0.61704
EState_VSA_EState3,0.650763
EState_VSA_EState4,0.65081
EState_VSA_EState5,0.642669
EState_VSA_EState6,0.649891
EState_VSA_EState7,0.657699
EState_VSA_EState8,0.650812
EState_VSA_EState9,0.604756
EState_VSA_EState10,0.631309
VSA_EState_ALL_sum,0.578346
VSA_EState_ALL_ind,0.691866
Asphericity,0.640117
PBF,0.647052
PMI1,0.639856
PMI2,0.6381
PMI3,0.65404
PMI_ALL_sum,0.652628
PMI_ALL_ind,0.648609
NPR1,0.628081
NPR2,0.627299
NPR_ALL_sum,0.64488
NPR_ALL_ind,0.660246
RadiusOfGyration,0.625299
InertialShapeFactor,0.639504
Eccentricity,0.62424
SpherocityIndex,0.632104
MQNs,0.66488
AUTOCORR2D,0.0
AUTOCORR3D,0.628545
RDF,0.578952
BCUT2D,0.621691
MORSE,0.601475
WHIM,0.0
GETAWAY,0.622452
