Descriptor_Name,R2_Score
MQNs_,0.888995548871239
PEOE_VSA_ALL_ind,0.8865980343120368
VSA_EState_ALL_ind,0.8837324730133741
PEOE_VSA_ALL_sum,0.8824633617133177
SMR_VSA_ALL_IND,0.8803254128582279
BertzCT,0.8787737924526012
SlogP_VSA_ALL_ind,0.8759180845655878
GETAWAY,0.8748623624305732
MolMR,0.8745966388515453
Chi0,0.8743520296382741
AUTOCORR2D,0.8735304122281128
AUTOCORR3D,0.8704215740442716
WHIM,0.8684377582223336
Chi0n,0.8681800661061614
SMR_VSA_ALL_SUM,0.8668962583749427
Chi1n,0.8655360691226501
ChiNn_,0.8650638477965309
Chi_ALL_sum,0.8632034178225371
HeavyAtomCount,0.8588628908407928
Chi0v,0.8587248907500704
RDF,0.858193499910644
SMR_VSA7,0.8574475331131406
Kappa_all_sum,0.8570836673040059
PEOE_VSA6,0.8556892539362604
MolLogP,0.8524444884972672
Chi2v,0.8519801509894199
Chi2n,0.8514992760719392
Kappa1,0.851392781488062
Chi1v,0.8510414240768933
Kappa_all_ind,0.8492870647587184
Kappa2,0.8481207370691561
Chi4v,0.8467861043956864
NumValenceElectrons,0.8467541096840038
ChiNv_,0.8437602027422394
SlogP_VSA2,0.8432584614313086
CalcLabuteASA,0.8426407936098461
SlogP_VSA_ALL_sum,0.8423219274076089
VSA_EState7,0.8398730958207885
CalcPhi,0.8391306303299685
SMR_VSA9,0.8365258510271678
PEOE_VSA5,0.8364042189274955
VSA_EState_ALL_sum,0.8354009274759748
RadiusOfGyration,0.8347080903900064
Chi3n,0.8333347943948053
Chi1,0.8332463097360686
PEOE_VSA9,0.8330676915489413
Chi4n,0.8327151468268472
SlogP_VSA6,0.8314495109247655
CalcNumAmideBonds,0.8305529655536319
VSA_EState6,0.8297620090041338
Chi3v,0.8294213776191622
MORSE,0.8284623682949631
PEOE_VSA10,0.8274683070346633
