split,dataset,fingerprint,model,training,train_time,r2,rmse,mae,r2_std,rmse_std
rm,de,morgan,Ridge,simple,0.04066610336303711,-0.14891029763894825,2.1669298458260973,1.532571277390539,,
rm,de,morgan,Ridge,cv,0.11525440216064453,0.3072215894279775,1.6826700425311731,1.225380022604645,0.05887261384144758,0.061988919792261274
rm,de,morgan,SVR,simple,1.0386161804199219,0.4079106842356993,1.5555909305595939,1.2158577786595854,,
rm,de,morgan,SVR,cv,4.051325798034668,0.35964400546328945,1.6177541776209718,1.270111825534516,0.017130550067228228,0.021452226713992478
rm,de,morgan,RandomForest,simple,0.9117841720581055,0.716932423183541,1.0755902427989046,0.825767676802794,,
rm,de,morgan,RandomForest,cv,3.6860339641571045,0.7019475277063258,1.1036926606375366,0.8584552818387609,0.030945617841559952,0.05329093176229429
rm,de,morgan,XGBoost,simple,0.634223461151123,0.7017685232842344,1.1040240388856848,0.8525626559117727,,
rm,de,morgan,XGBoost,cv,1.4511744976043701,0.7153704524327353,1.0785537211116452,0.8380059164451287,0.022768362300074434,0.03980392733864138
rm,de,morgan,LightGBM,simple,0.11228346824645996,0.664174308332905,1.1715443913674597,0.8992168492798732,,
rm,de,morgan,LightGBM,cv,0.37398195266723633,0.6858954454273165,1.1330234727172899,0.8563589894281995,0.008456993686483047,0.01482213170492616
rm,lo,morgan,Ridge,simple,0.019936084747314453,0.4855100184526713,1.1237641113770738,0.8410895585455156,,
rm,lo,morgan,Ridge,cv,0.13996052742004395,0.5619261045773483,1.036956132735784,0.7699745284052693,0.03468939055845079,0.037540273257506016
rm,lo,morgan,SVR,simple,0.5567810535430908,0.442904107007171,1.1693692666637618,0.8651240554327285,,
rm,lo,morgan,SVR,cv,1.608804702758789,0.42150142515577094,1.1916201648754592,0.8834874165862119,0.0037689852724274156,0.003872794387767534
rm,lo,morgan,RandomForest,simple,0.8148558139801025,0.5416388406549056,1.060695195678328,0.7471956025213808,,
rm,lo,morgan,RandomForest,cv,3.718571424484253,0.5548423422981996,1.0453064289560734,0.7422112626685582,0.029476778061452318,0.03376090688932683
rm,lo,morgan,XGBoost,simple,0.829658031463623,0.5276450744377899,1.0767649773798884,0.7808975555645532,,
rm,lo,morgan,XGBoost,cv,1.524742841720581,0.5802503501023919,1.0150369884262298,0.7524135534830548,0.029015048577751747,0.032593377761899425
rm,lo,morgan,LightGBM,simple,0.08986473083496094,0.5935461167129732,0.998831742783434,0.7419469901372965,,
rm,lo,morgan,LightGBM,cv,0.9119572639465332,0.5599742135070738,1.0392637067242854,0.756996295994896,0.029939430225166295,0.0343064339442727
rm,ws,morgan,Ridge,simple,0.024045705795288086,0.33540263292944494,1.682739697861953,1.2870638602733613,,
rm,ws,morgan,Ridge,cv,0.08236432075500488,0.4682974472390167,1.5051230435675933,1.16420730458498,0.014090272265566948,0.018497904781888577
rm,ws,morgan,SVR,simple,0.3894226551055908,0.418558842675563,1.573948497041121,1.2761892714837173,,
rm,ws,morgan,SVR,cv,0.4470670223236084,0.35568544126277224,1.656863018443814,1.332949947785518,0.007624162356118614,0.009760209239467882
rm,ws,morgan,RandomForest,simple,0.4273254871368408,0.7138188646548678,1.1042264183628314,0.8508728351370851,,
rm,ws,morgan,RandomForest,cv,1.6177089214324951,0.698943342174926,1.1325613850875895,0.8684881226984129,0.014782286628474991,0.026582346290709772
rm,ws,morgan,XGBoost,simple,0.18664169311523438,0.7127619997773282,1.1062634894900967,0.875199946808815,,
rm,ws,morgan,XGBoost,cv,0.9023680686950684,0.7311274471035847,1.07031316551858,0.8256389048576355,0.04051650014619776,0.06952833973065622
rm,ws,morgan,LightGBM,simple,0.05447053909301758,0.6641948684235606,1.196138024121459,0.9841157470116382,,
rm,ws,morgan,LightGBM,cv,0.23528337478637695,0.6542197429506507,1.2137737156655724,1.0112575798366905,0.025998585278637538,0.04500782276892796
rm,hu,morgan,Ridge,simple,0.038904666900634766,0.08495774738264139,1.9489336987796455,1.410609173719487,,
rm,hu,morgan,Ridge,cv,0.16543173789978027,0.40480449017568887,1.571832679972206,1.1440992424608314,0.0737185797682478,0.08622509781882517
rm,hu,morgan,SVR,simple,1.3306868076324463,0.5052107957275181,1.4331333368509973,1.063495266308986,,
rm,hu,morgan,SVR,cv,5.1635942459106445,0.4664657356434805,1.4881874873665073,1.1153850909227447,0.0061108356099326515,0.00849027766073078
rm,hu,morgan,RandomForest,simple,1.006711721420288,0.7029274808957958,1.1104723012434763,0.8291104296218585,,
rm,hu,morgan,RandomForest,cv,4.044920206069946,0.7000648911622488,1.1158097277791483,0.8350965201083775,0.011247206815557827,0.02038719942320211
rm,hu,morgan,XGBoost,simple,0.37055397033691406,0.7073042400652056,1.1022616722582785,0.8207373102504083,,
rm,hu,morgan,XGBoost,cv,1.3534700870513916,0.7317777034044242,1.0551736301324384,0.7773046743044177,0.018658381063110928,0.03429406240331018
rm,hu,morgan,LightGBM,simple,0.10990214347839355,0.7299011442386023,1.058858343348032,0.8092081523218373,,
rm,hu,morgan,LightGBM,cv,0.5193147659301758,0.7151678087413147,1.0873541750013525,0.8367207909358992,0.011840294736666413,0.021888910883455417
cs,de,morgan,Ridge,simple,0.03780555725097656,-0.4869517321853494,2.606253049454083,1.9981133997684057,,
cs,de,morgan,Ridge,cv,0.12318634986877441,-0.05782672771049002,2.1982415523472763,1.6872882929978106,0.07564620778232381,0.07114487664541826
cs,de,morgan,SVR,simple,0.9308066368103027,0.28572788077489686,1.806342058331875,1.4052567332287484,,
cs,de,morgan,SVR,cv,3.2032883167266846,0.2515647431110767,1.849035561541439,1.4442820469441484,0.008728701294763413,0.010779367669760637
cs,de,morgan,RandomForest,simple,0.7840385437011719,0.550658504970922,1.4327037837527388,1.0811385058911458,,
cs,de,morgan,RandomForest,cv,3.5551464557647705,0.5550753539890105,1.4256449389830732,1.0875826017643095,0.01102748419559498,0.017339171796022734
cs,de,morgan,XGBoost,simple,0.3546288013458252,0.6186509624073065,1.3198648777845985,0.9953482403405838,,
cs,de,morgan,XGBoost,cv,1.2918407917022705,0.631130685762092,1.2980888186597888,0.9797554510968263,0.028578963992416783,0.04702953957929941
cs,de,morgan,LightGBM,simple,0.09461116790771484,0.5424277207543485,1.4457659689119864,1.1002604862125809,,
cs,de,morgan,LightGBM,cv,0.47170233726501465,0.5649232396560036,1.4097791650953249,1.0721166378392792,0.0132103661463358,0.02072987002339914
cs,lo,morgan,Ridge,simple,0.059393882751464844,0.2894468294037429,1.5342889391100694,1.1110520753519695,,
