descriptor_name,R2score
PEOE_VSA_ALL_sum,0.949039
SMR_VSA_ALL_SUM,0.945677
PEOE_VSA_ALL_ind,0.942304
Chi_ALL_ind,0.941884
SMR_VSA_ALL_IND,0.939259
Chi_ALL_sum,0.939217
SlogP_VSA_ALL_sum,0.937349
MolMR,0.937017
SlogP_VSA_ALL_ind,0.933737
MolWt,0.932996
MQNs,0.931768
CalcLabuteASA,0.928775
HeavyAtomCount,0.923922
VSA_EState_ALL_ind,0.920697
Chi0,0.917675
ChiNv_,0.913525
Ipc,0.90779
Kappa_all_ind,0.906555
Chi0v,0.906464
VSA_EState_ALL_sum,0.902937
ExactMolWt,0.898864
NumValenceElectrons,0.898152
Kappa1,0.898058
ChiN_,0.891644
Kappa_all_sum,0.886515
SlogP_VSA5,0.885353
AUTOCORR2D,0.884624
EState_VSA_EState10,0.884367
Chi0n,0.882343
MolLogP,0.879854
PEOE_VSA6,0.87291
RadiusOfGyration,0.868447
SMR_VSA5,0.864949
SlogP_VSA6,0.864294
TPSA,0.863744
PMI1,0.863199
Chi4n,0.862366
PMI_ALL_sum,0.859989
BCUT2D,0.858356
PMI_ALL_ind,0.857781
Chi2v,0.85692
Kappa2,0.856171
NumRotatableBonds,0.855346
SMR_VSA3,0.853999
Chi1n,0.85398
PEOE_VSA7,0.851473
SMR_VSA7,0.851086
SlogP_VSA12,0.850173
HallKierAlpha,0.850049
SMR_VSA10,0.847455
WHIM,0.844736
PMI3,0.844263
EState_VSA_EState3,0.843765
NPR_ALL_sum,0.841666
RDF,0.841609
Chi4v,0.840865
Chi1v,0.840791
CalcNumSpiroAtoms,0.840247
EState_VSA_EState5,0.832963
SlogP_VSA4,0.832962
PEOE_VSA13,0.83249
CalcPhi,0.832363
PBF,0.832065
PMI2,0.832049
FractionCSP3,0.831651
SlogP_VSA10,0.831146
NumHAcceptors,0.830003
CalcNumAmideBonds,0.829618
PEOE_VSA1,0.828022
BertzCT,0.827938
NumHeteroatoms,0.827366
SMR_VSA9,0.826682
Chi1,0.826332
NHOHCount,0.824711
Chi3n,0.824315
SlogP_VSA9,0.824013
EState_VSA_EState7,0.823747
GETAWAY,0.822919
Chi2n,0.822804
SlogP_VSA8,0.822678
NPR1,0.820205
AUTOCORR3D,0.817891
SMR_VSA2,0.817541
EState_VSA_EState9,0.817314
