descriptor_name,R2score
SMR_VSA_ALL_SUM,0.867878
SlogP_VSA_ALL_ind,0.864891
NumValenceElectrons,0.859831
PEOE_VSA_ALL_sum,0.859537
Chi_ALL_ind,0.858088
ChiN_,0.857575
CalcLabuteASA,0.856825
MolMR,0.855444
MQNs,0.847783
SlogP_VSA_ALL_sum,0.846719
Chi_ALL_sum,0.843478
ExactMolWt,0.839436
SMR_VSA_ALL_IND,0.835858
PEOE_VSA6,0.832372
PEOE_VSA_ALL_ind,0.828664
AUTOCORR2D,0.822108
SlogP_VSA5,0.821868
Chi2n,0.814866
Kappa_all_sum,0.814611
Ipc,0.811967
ChiNv_,0.811492
Kappa_all_ind,0.810815
Kappa2,0.810683
PEOE_VSA7,0.809867
VSA_EState_ALL_ind,0.805856
CalcPhi,0.800886
EState_VSA_EState10,0.799538
Chi1v,0.798424
SlogP_VSA6,0.797024
MolLogP,0.796799
Chi1n,0.796182
Chi0,0.792477
PEOE_VSA4,0.790659
Chi1,0.790619
SlogP_VSA11,0.790414
HallKierAlpha,0.789835
Chi4n,0.785988
HeavyAtomCount,0.784005
Kappa1,0.783442
Chi3n,0.782719
SMR_VSA5,0.782558
NumHAcceptors,0.781668
PMI3,0.777488
NumAromaticRings,0.776889
PMI1,0.776673
PEOE_VSA13,0.77449
PEOE_VSA11,0.77168
EState_VSA_EState3,0.77125
PEOE_VSA8,0.770361
NumAliphaticRings,0.77019
SlogP_VSA1,0.768028
PMI_ALL_sum,0.7674
SlogP_VSA10,0.767005
NHOHCount,0.764164
SlogP_VSA2,0.763355
PEOE_VSA9,0.761661
CalcNumBridgeheadAtoms,0.761408
Chi2v,0.75943
InertialShapeFactor,0.758984
MolWt,0.758009
EState_VSA_EState2,0.757994
SlogP_VSA3,0.757258
NumHeteroatoms,0.75595
SlogP_VSA8,0.754691
SMR_VSA8,0.752434
SMR_VSA10,0.751967
BertzCT,0.751932
EState_VSA_EState8,0.751679
FractionCSP3,0.750658
NOCount,0.75045
Kappa3,0.749573
EState_VSA_EState6,0.749361
PMI2,0.74887
SMR_VSA7,0.747868
EState_VSA_EState9,0.747773
SMR_VSA6,0.745829
NumRotatableBonds,0.74441
VSA_EState_ALL_sum,0.743005
SMR_VSA4,0.74193
EState_VSA_EState7,0.740779
PEOE_VSA3,0.740694
NPR_ALL_ind,0.738081
Chi3v,0.73716
BCUT2D,0.737128
BalabanJ,0.735801
Chi4v,0.735617
SlogP_VSA7,0.735458
PMI_ALL_ind,0.735243
PEOE_VSA12,0.73483
SlogP_VSA9,0.733944
SlogP_VSA12,0.732971
Asphericity,0.731893
