,descriptor_name,R2score
0,Original,0.761374
1,ExactMolWt,0.894214
2,MolWt,0.886421
3,MolLogP,0.815904
4,MolMR,0.88582
5,TPSA,0.804702
6,NumRotatableBonds,0.81589
7,HeavyAtomCount,0.887604
8,NumHAcceptors,0.839658
9,NumHDonors,0.813371
10,NumHeteroatoms,0.776899
11,NHOHCount,0.803188
12,NOCount,0.796515
13,RingCount,0.819508
14,NumAromaticRings,0.782588
15,NumSaturatedRings,0.810855
16,NumAliphaticRings,0.822488
17,CalcLabuteASA,0.899727
18,NumValenceElectrons,0.903899
19,BalabanJ,0.774532
20,BertzCT,0.86683
21,Ipc,0.855916
22,Kappa1,0.874302
23,Kappa2,0.878186
24,Kappa3,0.654136
25,Kappa_all_sum,0.560569
26,Kappa_all_ind,0.812287
27,Chi0,0.856268
28,Chi0n,0.852647
29,Chi0v,0.879558
30,Chi1,0.885918
31,Chi1n,0.83816
32,Chi1v,0.839336
33,Chi2n,0.796939
34,Chi2v,0.849248
35,Chi3n,0.781492
36,Chi3v,0.79229
37,Chi4n,0.806688
38,Chi4v,0.841235
39,ChiN_,0.882525
40,ChiNv_,0.878811
41,Chi_ALL_sum,0.889511
42,Chi_ALL_ind,0.909404
43,CalcPhi,0.85672
44,HallKierAlpha,0.811294
45,CalcNumAmideBonds,0.797385
46,FractionCSP3,0.756748
47,CalcNumSpiroAtoms,0.788317
48,CalcNumBridgeheadAtoms,0.795283
49,PEOE_VSA1,0.800127
50,PEOE_VSA2,0.785483
51,PEOE_VSA3,0.790026
52,PEOE_VSA4,0.818385
53,PEOE_VSA5,0.778359
54,PEOE_VSA6,0.876436
55,PEOE_VSA7,0.834101
56,PEOE_VSA8,0.827759
57,PEOE_VSA9,0.812929
58,PEOE_VSA10,0.779931
59,PEOE_VSA11,0.801646
60,PEOE_VSA12,0.787102
61,PEOE_VSA13,0.817546
62,PEOE_VSA14,0.799231
63,PEOE_VSA_ALL_sum,0.887405
64,PEOE_VSA_ALL_ind,0.910642
65,SMR_VSA1,0.823111
66,SMR_VSA2,0.792339
67,SMR_VSA3,0.761046
68,SMR_VSA4,0.801687
69,SMR_VSA5,0.826054
70,SMR_VSA6,0.797939
71,SMR_VSA7,0.820751
72,SMR_VSA8,0.778798
73,SMR_VSA9,0.834331
74,SMR_VSA10,0.828281
75,SMR_VSA_ALL_SUM,0.904668
76,SMR_VSA_ALL_IND,0.896021
77,SlogP_VSA1,0.810311
78,SlogP_VSA2,0.795672
79,SlogP_VSA3,0.810073
80,SlogP_VSA4,0.821089
81,SlogP_VSA5,0.813992
82,SlogP_VSA6,0.807736
83,SlogP_VSA7,0.810214
84,SlogP_VSA8,0.812374
85,SlogP_VSA9,0.742479
86,SlogP_VSA10,0.822725
87,SlogP_VSA11,0.78083
88,SlogP_VSA12,0.828591
89,SlogP_VSA_ALL_sum,0.903701
90,SlogP_VSA_ALL_ind,0.901273
91,EState_VSA_EState1,0.788251
92,EState_VSA_EState2,0.835794
93,EState_VSA_EState3,0.775289
94,EState_VSA_EState4,0.813429
95,EState_VSA_EState5,0.805537
96,EState_VSA_EState6,0.842802
97,EState_VSA_EState7,0.803748
98,EState_VSA_EState8,0.796098
99,EState_VSA_EState9,0.75096
100,EState_VSA_EState10,0.822797
101,VSA_EState_ALL_sum,0.880304
102,VSA_EState_ALL_ind,0.858761
103,Asphericity,0.796021
104,PBF,0.786537
105,PMI1,0.804235
106,PMI2,0.815709
107,PMI3,0.832272
108,PMI_ALL_sum,0.810118
109,PMI_ALL_ind,0.835332
110,NPR1,0.799741
111,NPR2,0.796077
112,NPR_ALL_sum,0.768005
113,NPR_ALL_ind,0.802192
114,RadiusOfGyration,0.754364
115,InertialShapeFactor,0.778862
116,Eccentricity,0.795032
117,SpherocityIndex,0.8168
118,MQNs,0.916277
119,AUTOCORR2D,0.839326
120,AUTOCORR3D,0.810868
121,RDF,0.818406
122,BCUT2D,0.810904
123,MORSE,0.813102
124,WHIM,0.841177
125,GETAWAY,0.833681
