,descriptor_name,R2score
0,Original,0.667695
1,ExactMolWt,0.733332
2,MolWt,0.720043
3,MolLogP,0.673126
4,MolMR,0.757289
5,TPSA,0.656134
6,NumRotatableBonds,0.66159
7,HeavyAtomCount,0.665259
8,NumHAcceptors,0.653077
9,NumHDonors,0.640063
10,NumHeteroatoms,0.66525
11,NHOHCount,0.643103
12,NOCount,0.610832
13,RingCount,0.624322
14,NumAromaticRings,0.683359
15,NumSaturatedRings,0.639036
16,NumAliphaticRings,0.611951
17,CalcLabuteASA,0.748187
18,NumValenceElectrons,0.727649
19,BalabanJ,0.642605
20,BertzCT,0.719449
21,Ipc,0.711891
22,Kappa1,0.697357
23,Kappa2,0.693879
24,Kappa3,0.708192
25,Kappa_all_sum,0.684342
26,Kappa_all_ind,0.689634
27,Chi0,0.682889
28,Chi0n,0.705509
29,Chi0v,0.667904
30,Chi1,0.686162
31,Chi1n,0.700107
32,Chi1v,0.702921
33,Chi2n,0.637489
34,Chi2v,0.684047
35,Chi3n,0.683966
36,Chi3v,0.606136
37,Chi4n,0.611521
38,Chi4v,0.65944
39,ChiN_,0.736013
40,ChiNv_,0.714925
41,Chi_ALL_sum,0.726086
42,Chi_ALL_ind,0.696511
43,CalcPhi,0.658645
44,HallKierAlpha,0.700029
45,CalcNumAmideBonds,0.651148
46,FractionCSP3,0.596726
47,CalcNumSpiroAtoms,0.612101
48,CalcNumBridgeheadAtoms,0.604967
49,PEOE_VSA1,0.622227
50,PEOE_VSA2,0.597555
51,PEOE_VSA3,0.677014
52,PEOE_VSA4,0.655159
53,PEOE_VSA5,0.609695
54,PEOE_VSA6,0.742715
55,PEOE_VSA7,0.726714
56,PEOE_VSA8,0.705018
57,PEOE_VSA9,0.658274
58,PEOE_VSA10,0.672568
59,PEOE_VSA11,0.658143
60,PEOE_VSA12,0.607449
61,PEOE_VSA13,0.615413
62,PEOE_VSA14,0.626339
63,PEOE_VSA_ALL_sum,0.729656
64,PEOE_VSA_ALL_ind,0.766384
65,SMR_VSA1,0.640332
66,SMR_VSA2,0.600869
67,SMR_VSA3,0.616857
68,SMR_VSA4,0.654043
69,SMR_VSA5,0.692262
70,SMR_VSA6,0.651184
71,SMR_VSA7,0.706133
72,SMR_VSA8,0.648924
73,SMR_VSA9,0.559151
74,SMR_VSA10,0.677306
75,SMR_VSA_ALL_SUM,0.724352
76,SMR_VSA_ALL_IND,0.724783
77,SlogP_VSA1,0.663268
78,SlogP_VSA2,0.683594
79,SlogP_VSA3,0.651898
80,SlogP_VSA4,0.660547
81,SlogP_VSA5,0.710513
82,SlogP_VSA6,0.709669
83,SlogP_VSA7,0.599244
84,SlogP_VSA8,0.645426
85,SlogP_VSA9,0.658045
86,SlogP_VSA10,0.603517
87,SlogP_VSA11,0.627252
88,SlogP_VSA12,0.616977
89,SlogP_VSA_ALL_sum,0.71873
90,SlogP_VSA_ALL_ind,0.790047
91,EState_VSA_EState1,0.656278
92,EState_VSA_EState2,0.618856
93,EState_VSA_EState3,0.638599
94,EState_VSA_EState4,0.635774
95,EState_VSA_EState5,0.608449
96,EState_VSA_EState6,0.653277
97,EState_VSA_EState7,0.557347
98,EState_VSA_EState8,0.642327
99,EState_VSA_EState9,0.680853
100,EState_VSA_EState10,0.682512
101,VSA_EState_ALL_sum,0.688823
102,VSA_EState_ALL_ind,0.738531
103,Asphericity,0.689265
104,PBF,0.650016
105,PMI1,0.664771
106,PMI2,0.656184
107,PMI3,0.661346
108,PMI_ALL_sum,0.67036
109,PMI_ALL_ind,0.646259
110,NPR1,0.612739
111,NPR2,0.656047
112,NPR_ALL_sum,0.68968
113,NPR_ALL_ind,0.635655
114,RadiusOfGyration,0.688532
115,InertialShapeFactor,0.626956
116,Eccentricity,0.65035
117,SpherocityIndex,0.568684
118,MQNs,0.76909
119,AUTOCORR2D,0.591329
120,AUTOCORR3D,0.635144
121,RDF,0.623123
122,BCUT2D,0.708443
123,MORSE,0.674703
124,WHIM,0.654057
125,GETAWAY,0.675239
