descriptor,time_estimation
Original,25.905736684799194
ExactMolWt,26.72677254676819
MolWt,26.14401340484619
MolLogP,25.509384632110596
MolMR,25.762148141860962
TPSA,25.728735208511353
NumRotatableBonds,25.42582416534424
HeavyAtomCount,25.258118629455566
NumHAcceptors,26.495830535888672
NumHDonors,25.622769832611084
NumHeteroatoms,25.406858682632446
NHOHCount,26.208628177642822
NOCount,26.263390064239502
RingCount,26.010836362838745
NumAromaticRings,25.653305768966675
NumSaturatedRings,25.614023447036743
NumAliphaticRings,25.82201862335205
CalcLabuteASA,26.30672836303711
NumValenceElectrons,25.96114706993103
BalabanJ,26.047199726104736
BertzCT,25.99603819847107
Ipc,25.455984115600586
Kappa1,25.92957854270935
Kappa2,25.678593635559082
Kappa3,25.68466019630432
Kappa_all_sum,26.10156774520874
Kappa_all_ind,25.74541926383972
Chi0,25.59715747833252
Chi0n,25.508488416671753
Chi0v,26.42332911491394
Chi1,25.999999284744263
Chi1n,25.755329132080078
Chi1v,25.45557141304016
Chi2n,25.46678400039673
Chi2v,25.55068278312683
Chi3n,25.638429164886475
Chi3v,25.487472534179688
Chi4n,25.674147129058838
Chi4v,25.437169313430786
ChiN_,25.748319149017334
ChiNv_,25.355940103530884
Chi_ALL_sum,25.669990062713623
Chi_ALL_ind,26.223072052001953
CalcPhi,25.801674127578735
HallKierAlpha,25.81186842918396
CalcNumAmideBonds,25.99025583267212
FractionCSP3,26.08920407295227
CalcNumSpiroAtoms,25.500512838363647
CalcNumBridgeheadAtoms,25.419130563735962
PEOE_VSA1,25.84697413444519
PEOE_VSA2,26.130254983901978
PEOE_VSA3,26.382614612579346
PEOE_VSA4,26.038600206375122
PEOE_VSA5,25.861735820770264
PEOE_VSA6,25.675816535949707
PEOE_VSA7,25.98605179786682
PEOE_VSA8,26.097135305404663
PEOE_VSA9,25.553096294403076
PEOE_VSA10,25.79779863357544
PEOE_VSA11,25.599560976028442
PEOE_VSA12,25.765828847885132
PEOE_VSA13,26.013938665390015
PEOE_VSA14,25.791792631149292
PEOE_VSA_ALL_sum,25.420478582382202
PEOE_VSA_ALL_ind,25.335646629333496
SMR_VSA1,25.84932017326355
SMR_VSA2,25.43463683128357
SMR_VSA3,25.612341165542603
SMR_VSA4,25.452754497528076
SMR_VSA5,25.42225170135498
SMR_VSA6,25.623377799987793
SMR_VSA7,25.908386707305908
SMR_VSA8,26.276565551757812
SMR_VSA9,25.75581192970276
SMR_VSA10,25.723946809768677
SMR_VSA_ALL_SUM,25.60777711868286
SMR_VSA_ALL_IND,25.46876311302185
SlogP_VSA1,25.374178886413574
SlogP_VSA2,25.7266628742218
SlogP_VSA3,25.912764310836792
SlogP_VSA4,26.019245386123657
SlogP_VSA5,25.646726608276367
SlogP_VSA6,25.633821487426758
SlogP_VSA7,25.93985891342163
SlogP_VSA8,25.905338525772095
SlogP_VSA9,25.389352798461914
SlogP_VSA10,25.555118799209595
SlogP_VSA11,25.93091106414795
SlogP_VSA12,25.6731595993042
SlogP_VSA_ALL_sum,26.24754285812378
SlogP_VSA_ALL_ind,26.427096843719482
EState_VSA_EState1,25.092589139938354
EState_VSA_EState2,25.880653142929077
EState_VSA_EState3,25.371874809265137
EState_VSA_EState4,25.899195671081543
EState_VSA_EState5,25.909148454666138
EState_VSA_EState6,25.915517807006836
EState_VSA_EState7,25.432925939559937
EState_VSA_EState8,25.854024410247803
EState_VSA_EState9,25.56852102279663
EState_VSA_EState10,26.249815464019775
VSA_EState_ALL_sum,25.98342275619507
VSA_EState_ALL_ind,25.846582889556885
Asphericity,25.51664900779724
PBF,26.07469916343689
PMI1,25.777427673339844
PMI2,25.81968116760254
PMI3,25.730375289916992
PMI_ALL_sum,25.810377597808838
PMI_ALL_ind,25.36070156097412
NPR1,25.889448642730713
NPR2,25.65861225128174
NPR_ALL_sum,25.768293857574463
NPR_ALL_ind,25.573745489120483
RadiusOfGyration,25.154227018356323
InertialShapeFactor,25.774566650390625
Eccentricity,25.895925045013428
SpherocityIndex,25.733534574508667
MQNs,25.34197998046875
AUTOCORR2D,25.718334436416626
AUTOCORR3D,25.736157417297363
RDF,26.558080434799194
BCUT2D,25.88082003593445
MORSE,25.826412677764893
WHIM,25.932034730911255
GETAWAY,26.047773838043213
