Descriptor_Name,R2_Score
Original,0.761374
ExactMolWt,0.894214
MolWt,0.886421
MolLogP,0.815904
MolMR,0.88582
TPSA,0.804702
NumRotatableBonds,0.81589
HeavyAtomCount,0.887604
NumHAcceptors,0.839658
NumHDonors,0.813371
NumHeteroatoms,0.776899
NHOHCount,0.803188
NOCount,0.796515
RingCount,0.819508
NumAromaticRings,0.782588
NumSaturatedRings,0.810855
NumAliphaticRings,0.822488
CalcLabuteASA,0.899727
NumValenceElectrons,0.903899
BalabanJ,0.774532
BertzCT,0.86683
Ipc,0.855916
Kappa1,0.874302
Kappa2,0.878186
Kappa3,0.654136
Kappa_all_sum,0.560569
Kappa_all_ind,0.812287
Chi0,0.856268
Chi0n,0.852647
Chi0v,0.879558
Chi1,0.885918
Chi1n,0.83816
Chi1v,0.839336
Chi2n,0.796939
Chi2v,0.849248
Chi3n,0.781492
Chi3v,0.79229
Chi4n,0.806688
Chi4v,0.841235
ChiN_,0.882525
ChiNv_,0.878811
Chi_ALL_sum,0.889511
Chi_ALL_ind,0.909404
CalcPhi,0.85672
HallKierAlpha,0.811294
CalcNumAmideBonds,0.797385
FractionCSP3,0.756748
CalcNumSpiroAtoms,0.788317
CalcNumBridgeheadAtoms,0.795283
PEOE_VSA1,0.800127
PEOE_VSA2,0.785483
PEOE_VSA3,0.790026
PEOE_VSA4,0.818385
PEOE_VSA5,0.778359
PEOE_VSA6,0.876436
PEOE_VSA7,0.834101
PEOE_VSA8,0.827759
PEOE_VSA9,0.812929
PEOE_VSA10,0.779931
PEOE_VSA11,0.801646
PEOE_VSA12,0.787102
PEOE_VSA13,0.817546
PEOE_VSA14,0.799231
PEOE_VSA_ALL_sum,0.887405
PEOE_VSA_ALL_ind,0.910642
SMR_VSA1,0.823111
SMR_VSA2,0.792339
SMR_VSA3,0.761046
SMR_VSA4,0.801687
SMR_VSA5,0.826054
SMR_VSA6,0.797939
SMR_VSA7,0.820751
SMR_VSA8,0.778798
SMR_VSA9,0.834331
SMR_VSA10,0.828281
SMR_VSA_ALL_SUM,0.904668
SMR_VSA_ALL_IND,0.896021
SlogP_VSA1,0.810311
SlogP_VSA2,0.795672
SlogP_VSA3,0.810073
SlogP_VSA4,0.821089
SlogP_VSA5,0.813992
SlogP_VSA6,0.807736
SlogP_VSA7,0.810214
SlogP_VSA8,0.812374
SlogP_VSA9,0.742479
SlogP_VSA10,0.822725
SlogP_VSA11,0.78083
SlogP_VSA12,0.828591
SlogP_VSA_ALL_sum,0.903701
SlogP_VSA_ALL_ind,0.901273
EState_VSA_EState1,0.788251
EState_VSA_EState2,0.835794
EState_VSA_EState3,0.775289
EState_VSA_EState4,0.813429
EState_VSA_EState5,0.805537
EState_VSA_EState6,0.842802
EState_VSA_EState7,0.803748
EState_VSA_EState8,0.796098
EState_VSA_EState9,0.75096
EState_VSA_EState10,0.822797
VSA_EState_ALL_sum,0.880304
VSA_EState_ALL_ind,0.858761
Asphericity,0.796021
PBF,0.786537
PMI1,0.804235
PMI2,0.815709
PMI3,0.832272
PMI_ALL_sum,0.810118
PMI_ALL_ind,0.835332
NPR1,0.799741
NPR2,0.796077
NPR_ALL_sum,0.768005
NPR_ALL_ind,0.802192
RadiusOfGyration,0.754364
InertialShapeFactor,0.778862
Eccentricity,0.795032
SpherocityIndex,0.8168
MQNs,0.916277
AUTOCORR2D,0.839326
AUTOCORR3D,0.810868
RDF,0.818406
BCUT2D,0.810904
MORSE,0.813102
WHIM,0.841177
GETAWAY,0.833681
