Descriptor_Name,R2_Score
Original,0.731802
ExactMolWt,0.839436
MolWt,0.758009
MolLogP,0.796799
MolMR,0.855444
TPSA,0.731748
NumRotatableBonds,0.74441
HeavyAtomCount,0.784005
NumHAcceptors,0.781668
NumHDonors,0.698153
NumHeteroatoms,0.75595
NHOHCount,0.764164
NOCount,0.75045
RingCount,0.652421
NumAromaticRings,0.776889
NumSaturatedRings,0.729985
NumAliphaticRings,0.77019
CalcLabuteASA,0.856825
NumValenceElectrons,0.859831
BalabanJ,0.735801
BertzCT,0.751932
Ipc,0.811967
Kappa1,0.783442
Kappa2,0.810683
Kappa3,0.749573
Kappa_all_sum,0.814611
Kappa_all_ind,0.810815
Chi0,0.792477
Chi0n,0.727028
Chi0v,0.725297
Chi1,0.790619
Chi1n,0.796182
Chi1v,0.798424
Chi2n,0.814866
Chi2v,0.75943
Chi3n,0.782719
Chi3v,0.73716
Chi4n,0.785988
Chi4v,0.735617
ChiN_,0.857575
ChiNv_,0.811492
Chi_ALL_sum,0.843478
Chi_ALL_ind,0.858088
CalcPhi,0.800886
HallKierAlpha,0.789835
CalcNumAmideBonds,0.716647
FractionCSP3,0.750658
CalcNumSpiroAtoms,0.719054
CalcNumBridgeheadAtoms,0.761408
PEOE_VSA1,0.585754
PEOE_VSA2,0.558292
PEOE_VSA3,0.740694
PEOE_VSA4,0.790659
PEOE_VSA5,0.718887
PEOE_VSA6,0.832372
PEOE_VSA7,0.809867
PEOE_VSA8,0.770361
PEOE_VSA9,0.761661
PEOE_VSA10,0.636182
PEOE_VSA11,0.77168
PEOE_VSA12,0.73483
PEOE_VSA13,0.77449
PEOE_VSA14,0.67959
PEOE_VSA_ALL_sum,0.859537
PEOE_VSA_ALL_ind,0.828664
SMR_VSA1,0.708406
SMR_VSA2,0.721253
SMR_VSA3,0.633689
SMR_VSA4,0.74193
SMR_VSA5,0.782558
SMR_VSA6,0.745829
SMR_VSA7,0.747868
SMR_VSA8,0.752434
SMR_VSA9,0.718547
SMR_VSA10,0.751967
SMR_VSA_ALL_SUM,0.867878
SMR_VSA_ALL_IND,0.835858
SlogP_VSA1,0.768028
SlogP_VSA2,0.763355
SlogP_VSA3,0.757258
SlogP_VSA4,0.651634
SlogP_VSA5,0.821868
SlogP_VSA6,0.797024
SlogP_VSA7,0.735458
SlogP_VSA8,0.754691
SlogP_VSA9,0.733944
SlogP_VSA10,0.767005
SlogP_VSA11,0.790414
SlogP_VSA12,0.732971
SlogP_VSA_ALL_sum,0.846719
SlogP_VSA_ALL_ind,0.864891
EState_VSA_EState1,0.726282
EState_VSA_EState2,0.757994
EState_VSA_EState3,0.77125
EState_VSA_EState4,0.705192
EState_VSA_EState5,0.688149
EState_VSA_EState6,0.749361
EState_VSA_EState7,0.740779
EState_VSA_EState8,0.751679
EState_VSA_EState9,0.747773
EState_VSA_EState10,0.799538
VSA_EState_ALL_sum,0.743005
VSA_EState_ALL_ind,0.805856
Asphericity,0.731893
PBF,0.695296
PMI1,0.776673
PMI2,0.74887
PMI3,0.777488
PMI_ALL_sum,0.7674
PMI_ALL_ind,0.735243
NPR1,0.66396
NPR2,0.7243
NPR_ALL_sum,0.563049
NPR_ALL_ind,0.738081
RadiusOfGyration,0.682768
InertialShapeFactor,0.758984
Eccentricity,0.665063
SpherocityIndex,0.725877
MQNs,0.847783
AUTOCORR2D,0.822108
AUTOCORR3D,0.687749
RDF,0.69501
BCUT2D,0.737128
MORSE,0.684984
WHIM,0.704113
GETAWAY,0.698087
