dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
ws,rm,morgan,DNN,1.085517,0.849842,0.723434,0.588295,0.07612988290283916,0.588295,0.07612988290283916
ws,rm,maccs,DNN,0.883272,0.703692,0.816889,0.7492454000000001,0.0664792050873053,0.7492454000000001,0.0664792050873053
ws,rm,avalon,DNN,0.95489,0.739907,0.785991,0.7096814,0.06408625831361978,0.7096814,0.06408625831361978
ws,rm,morgan+maccs,DNN,0.904783,0.720869,0.807862,0.7480597999999999,0.06980267562321661,0.7480597999999999,0.06980267562321661
ws,rm,morgan+avalon,DNN,0.858343,0.679009,0.827079,0.7325003999999999,0.07682994750902802,0.7325003999999999,0.07682994750902802
ws,rm,maccs+avalon,DNN,0.815151,0.630305,0.844044,0.770102,0.0536195163163563,0.770102,0.0536195163163563
ws,rm,morgan+maccs+avalon,DNN,0.833248,0.641879,0.837043,0.7668541999999999,0.06699075441402344,0.7668541999999999,0.06699075441402344
ws,sc,morgan,DNN,1.464967,1.232467,0.204382,0.656187,0.04576323967115964,0.656187,0.04576323967115964
ws,sc,maccs,DNN,1.930804,1.673706,-0.382056,0.6880504,0.22028803833581162,0.6880504,0.22028803833581162
ws,sc,avalon,DNN,1.672739,1.250521,-0.037303,0.7724802000000001,0.039577978606290636,0.7724802000000001,0.039577978606290636
ws,sc,morgan+maccs,DNN,1.700237,1.457129,-0.071687,0.7909422,0.044664433238987826,0.7909422,0.044664433238987826
ws,sc,morgan+avalon,DNN,1.430619,1.128322,0.241252,0.7861806,0.048178079590618796,0.7861806,0.048178079590618796
ws,sc,maccs+avalon,DNN,1.525455,1.236181,0.137324,0.8219937999999999,0.045184829650669285,0.8219937999999999,0.045184829650669285
ws,sc,morgan+maccs+avalon,DNN,1.419029,1.139795,0.253496,0.8014564,0.03635631641737101,0.8014564,0.03635631641737101
ws,cs,morgan,DNN,1.428791,1.126318,0.488921,0.5505498,0.19556033485489843,0.5505498,0.19556033485489843
ws,cs,maccs,DNN,1.05938,0.842191,0.719034,0.5852440000000001,0.21473348501805675,0.5852440000000001,0.21473348501805675
ws,cs,avalon,DNN,1.200306,0.957861,0.63931,0.738714,0.07578779421252477,0.738714,0.07578779421252477
