dataset,split,fp_combo,best_model,best_test_R2,best_cv_val_R2
ws,rm,morgan,DNN,0.723434,0.588295
ws,rm,maccs,DNN,0.816889,0.7492454000000001
ws,rm,avalon,DNN,0.785991,0.7096814
ws,rm,morgan+maccs,DNN,0.807862,0.7480597999999999
ws,rm,morgan+avalon,DNN,0.827079,0.7325003999999999
ws,rm,maccs+avalon,DNN,0.844044,0.770102
ws,rm,morgan+maccs+avalon,DNN,0.837043,0.7668541999999999
ws,sc,morgan,DNN,0.204382,0.656187
ws,sc,maccs,DNN,-0.382056,0.6880504
ws,sc,avalon,DNN,-0.037303,0.7724802000000001
ws,sc,morgan+maccs,DNN,-0.071687,0.7909422
ws,sc,morgan+avalon,DNN,0.241252,0.7861806
ws,sc,maccs+avalon,DNN,0.137324,0.8219937999999999
ws,sc,morgan+maccs+avalon,DNN,0.253496,0.8014564
ws,cs,morgan,DNN,0.488921,0.5505498
ws,cs,maccs,DNN,0.719034,0.5852440000000001
ws,cs,avalon,DNN,0.63931,0.738714
ws,cs,morgan+maccs,DNN,0.707653,0.7684246
ws,cs,morgan+avalon,DNN,0.599683,0.6968222
ws,cs,maccs+avalon,DNN,0.685312,0.8066022
ws,cs,morgan+maccs+avalon,DNN,0.698173,0.8087456
ws,cl,morgan,DNN,0.340614,0.6368039999999999
ws,cl,maccs,DNN,0.704453,0.7423375999999999
ws,cl,avalon,DNN,0.414158,0.7471634
ws,cl,morgan+maccs,DNN,0.566788,0.768858
ws,cl,morgan+avalon,DNN,0.509712,0.7790476
ws,cl,maccs+avalon,DNN,0.547459,0.8032444
ws,cl,morgan+maccs+avalon,DNN,0.600602,0.8100265999999999
ws,pc,morgan,DNN,0.703974,0.6243388000000001
ws,pc,maccs,DNN,0.808395,0.7621039999999999
ws,pc,avalon,DNN,0.773754,0.7287266000000001
ws,pc,morgan+maccs,DNN,0.758412,0.7773044
ws,pc,morgan+avalon,DNN,0.832296,0.7570515999999999
ws,pc,maccs+avalon,DNN,0.854212,0.7921416000000001
ws,pc,morgan+maccs+avalon,DNN,0.828359,0.786295
ws,ac,morgan,DNN,0.548117,0.5701106
ws,ac,maccs,DNN,0.607727,0.7963928
ws,ac,avalon,DNN,0.50531,0.7395048
ws,ac,morgan+maccs,DNN,0.672372,0.7843910000000001
ws,ac,morgan+avalon,DNN,0.633249,0.779823
ws,ac,maccs+avalon,DNN,0.615062,0.818511
