module_type,dataset,split_type,n_features,ad_coverage,mean_leverage,max_leverage,n_outliers,leverage_threshold
Feature Only,ws,rm,3609,100.0,0.1262523750812669,0.15008623922237713,0,27.0675
Feature Only,de,rm,3609,100.0,0.12450486133559574,0.15021212935343464,0,27.0675
Feature Only,lo,rm,3609,100.0,0.12524577527629513,0.165470118195659,0,27.0675
Feature Only,hu,rm,3609,100.0,0.12423026879296159,0.14662125134448395,0,27.0675
Structure Only,ws,rm,2727,100.0,0.17256926229285438,0.20791625556675639,0,20.4525
Structure Only,de,rm,2727,100.0,0.17158644187998914,0.21750873913883362,0,20.4525
Structure Only,lo,rm,2727,100.0,0.17021794299154686,0.20869514160272157,0,20.4525
Structure Only,hu,rm,2727,100.0,0.17260897444754303,0.21335624581696294,0,20.4525
Feature→Structure,ws,rm,3609,100.0,0.12386987227486017,0.14545355748488395,0,27.0675
Feature→Structure,de,rm,3609,100.0,0.12454094773481673,0.1556522118666189,0,27.0675
Feature→Structure,lo,rm,3609,100.0,0.12609599756881798,0.1506903393060495,0,27.0675
Feature→Structure,hu,rm,3609,100.0,0.12563258930178114,0.1489740614440178,0,27.0675
Structure→Feature,ws,rm,3609,100.0,0.12510155296222011,0.15208662124649014,0,27.0675
Structure→Feature,de,rm,3609,100.0,0.12390539928468475,0.14460251888625023,0,27.0675
Structure→Feature,lo,rm,3609,100.0,0.12684664371315874,0.14516169890885872,0,27.0675
Structure→Feature,hu,rm,3609,100.0,0.12572630486310185,0.15829282375841588,0,27.0675
