module_type,dataset,split_type,cv_r2_mean,cv_r2_std
Structure Only,hu,rm,0.9806780815124512,0.003386298089728304
Structure Only,lo,rm,0.9805521249771119,0.002263287473637779
Feature Only,ws,rm,0.9791185855865479,0.0044670381925198885
Structure→Feature,de,rm,0.9776390314102172,0.010356536469929916
Feature Only,de,rm,0.9745541572570801,0.009258079666495212
Feature→Structure,de,rm,0.9738102078437805,0.009217931963854228
Structure Only,de,rm,0.9714700222015381,0.00646745225924315
Feature→Structure,ws,rm,0.9706236124038696,0.006895528796986279
Feature→Structure,hu,rm,0.9664217352867126,0.01596892818653102
Structure→Feature,ws,rm,0.9639240741729737,0.010814551646187326
