module_type,dataset,split_type,cv_r2_mean,cv_r2_std
Structure Only,hu,rm,0.9806780815124512,0.003386298089728304
Structure Only,lo,rm,0.9805521249771119,0.002263287473637779
Feature Only,ws,rm,0.9791185855865479,0.0044670381925198885
Feature→Structure,ws,rm,0.9787318706512451,0.007540676652665091
Feature Only,de,rm,0.9745541572570801,0.009258079666495212
Structure→Feature,hu,rm,0.9724729180335998,0.005101570948711217
Structure Only,de,rm,0.9714700222015381,0.00646745225924315
Structure→Feature,ws,rm,0.9705963730812073,0.006911882215709653
Structure→Feature,de,rm,0.9680913686752319,0.015930845989472732
Feature→Structure,de,rm,0.9665812849998474,0.0179776828582634
