,Compound,Suitable,Violations
0,1,True,['RotBonds < 6']
1,2,True,['RotBonds < 6']
2,3,True,['RotBonds < 6']
3,4,True,['RotBonds < 6']
4,5,True,['RotBonds < 6']
5,6,True,['RotBonds < 6']
6,7,True,['RotBonds < 6']
7,8,True,['RotBonds < 6']
8,9,True,[]
9,10,True,['RotBonds < 6']
10,11,True,['RotBonds < 6']
11,12,True,['RotBonds < 6']
12,13,True,['RotBonds < 6']
13,14,True,['RotBonds < 6']
14,15,True,['RotBonds < 6']
15,16,True,['RotBonds < 6']
16,17,True,['RotBonds < 6']
17,18,True,['RotBonds < 6']
18,19,True,['RotBonds < 6']
19,20,True,['RotBonds < 6']
20,21,True,['RotBonds < 6']
21,22,True,['RotBonds < 6']
22,23,True,['RotBonds < 6']
23,24,True,['RotBonds < 6']
24,25,True,['RotBonds < 6']
25,26,True,['RotBonds < 6']
26,27,True,['RotBonds < 6']
27,28,True,['RotBonds < 6']
28,29,True,['RotBonds < 6']
29,30,True,['RotBonds < 6']
30,31,True,['RotBonds < 6']
31,32,True,['RotBonds < 6']
32,33,True,['RotBonds < 6']
33,34,True,['RotBonds < 6']
34,35,True,['RotBonds < 6']
35,36,True,['RotBonds < 6']
36,37,True,['RotBonds < 6']
37,38,True,['RotBonds < 6']
38,39,True,['RotBonds < 6']
39,40,False,"['LogP > 5', 'RotBonds < 6']"
40,41,False,"['LogP > 5', 'RotBonds < 6']"
41,42,False,"['LogP > 5', 'RotBonds < 6']"
42,43,False,"['LogP > 5', 'RotBonds < 6']"
43,44,False,"['LogP > 5', 'RotBonds < 6']"
44,45,False,"['LogP > 5', 'RotBonds < 6']"
45,46,False,"['LogP > 5', 'RotBonds < 6']"
46,47,True,['RotBonds < 6']
47,48,True,['RotBonds < 6']
48,49,False,"['LogP > 5', 'RotBonds < 6']"
49,50,False,"['LogP > 5', 'RotBonds < 6']"
50,51,True,['RotBonds < 6']
51,52,True,['RotBonds < 6']
52,53,True,['RotBonds < 6']
53,54,True,['RotBonds < 6']
54,55,True,['RotBonds < 6']
55,56,True,['RotBonds < 6']
56,57,True,['RotBonds < 6']
57,58,True,['RotBonds < 6']
58,59,True,['RotBonds < 6']
59,60,True,['RotBonds < 6']
60,61,True,['RotBonds < 6']
61,62,True,['RotBonds < 6']
62,63,True,['RotBonds < 6']
63,64,True,['RotBonds < 6']
64,65,True,['RotBonds < 6']
65,66,True,['RotBonds < 6']
66,67,True,['RotBonds < 6']
67,68,True,['RotBonds < 6']
68,69,True,['RotBonds < 6']
69,70,True,['RotBonds < 6']
70,71,True,['RotBonds < 6']
71,72,True,[]
72,73,True,['RotBonds < 6']
73,74,True,['RotBonds < 6']
74,75,True,['RotBonds < 6']
75,76,True,['RotBonds < 6']
76,77,True,['RotBonds < 6']
77,78,False,"['LogP > 5', 'RotBonds < 6']"
78,79,True,['RotBonds < 6']
79,80,True,['RotBonds < 6']
80,81,True,['RotBonds < 6']
81,82,True,['RotBonds < 6']
82,83,True,['RotBonds < 6']
83,84,True,['RotBonds < 6']
84,85,True,['RotBonds < 6']
85,86,True,['RotBonds < 6']
86,87,True,['RotBonds < 6']
87,88,True,['RotBonds < 6']
88,89,True,['RotBonds < 6']
89,90,True,['RotBonds < 6']
90,91,True,['RotBonds < 6']
91,92,True,['RotBonds < 6']
92,93,True,['RotBonds < 6']
93,94,True,['RotBonds < 6']
94,95,True,['RotBonds < 6']
95,96,True,['RotBonds < 6']
96,97,True,['RotBonds < 6']
97,98,True,['RotBonds < 6']
98,99,True,['RotBonds < 6']
99,100,False,"['LogP > 5', 'RotBonds < 6']"
100,101,False,"['LogP > 5', 'RotBonds < 6']"
101,102,False,"['LogP > 5', 'RotBonds < 6']"
102,103,False,"['LogP > 5', 'RotBonds < 6']"
103,104,False,"['LogP > 5', 'RotBonds < 6']"
104,105,False,"['LogP > 5', 'RotBonds < 6']"
105,106,False,"['LogP > 5', 'RotBonds < 6']"
106,107,False,"['LogP > 5', 'RotBonds < 6']"
107,108,False,"['LogP > 5', 'RotBonds < 6']"
108,109,False,"['LogP > 5', 'RotBonds < 6']"
109,110,False,"['LogP > 5', 'RotBonds < 6']"
110,111,False,"['LogP > 5', 'RotBonds < 6']"
111,112,False,"['LogP > 5', 'RotBonds < 6']"
112,113,False,"['LogP > 5', 'RotBonds < 6']"
113,114,False,"['LogP > 5', 'RotBonds < 6']"
114,115,False,"['LogP > 5', 'RotBonds < 6']"
115,116,False,"['LogP > 5', 'RotBonds < 6']"
116,117,False,"['LogP > 5', 'RotBonds < 6']"
117,118,False,"['LogP > 5', 'RotBonds < 6']"
118,119,False,"['LogP > 5', 'RotBonds < 6']"
119,120,False,"['LogP > 5', 'RotBonds < 6']"
120,121,False,"['LogP > 5', 'RotBonds < 6']"
121,122,False,"['LogP > 5', 'RotBonds < 6']"
122,123,False,"['LogP > 5', 'RotBonds < 6']"
123,124,True,['RotBonds < 6']
124,125,True,['RotBonds < 6']
125,126,True,['RotBonds < 6']
126,127,True,['RotBonds < 6']
127,128,True,['RotBonds < 6']
128,129,True,['RotBonds < 6']
129,130,True,['RotBonds < 6']
130,131,True,['RotBonds < 6']
131,132,True,['RotBonds < 6']
132,133,True,['RotBonds < 6']
133,134,True,['RotBonds < 6']
134,135,True,['RotBonds < 6']
135,136,True,['RotBonds < 6']
136,137,True,['RotBonds < 6']
137,138,True,['RotBonds < 6']
138,139,True,['RotBonds < 6']
139,140,True,['RotBonds < 6']
140,141,True,['RotBonds < 6']
141,142,True,['RotBonds < 6']
142,143,True,[]
143,144,True,['RotBonds < 6']
144,145,True,[]
145,146,True,['RotBonds < 6']
146,147,True,['RotBonds < 6']
147,148,True,['RotBonds < 6']
148,149,True,['RotBonds < 6']
149,150,True,['RotBonds < 6']
150,151,True,['RotBonds < 6']
151,152,True,['RotBonds < 6']
152,153,True,['RotBonds < 6']
153,154,True,['RotBonds < 6']
154,155,True,['RotBonds < 6']
155,156,True,['RotBonds < 6']
156,157,True,['RotBonds < 6']
157,158,True,['RotBonds < 6']
158,159,True,[]
159,160,True,['RotBonds < 6']
160,161,True,['RotBonds < 6']
161,162,True,['RotBonds < 6']
162,163,True,[]
163,164,True,['RotBonds < 6']
164,165,True,['RotBonds < 6']
165,166,True,['RotBonds < 6']
166,167,True,[]
167,168,True,['RotBonds < 6']
168,169,True,['RotBonds < 6']
169,170,True,['RotBonds < 6']
170,171,True,['RotBonds < 6']
171,172,True,[]
172,173,True,[]
173,174,True,['RotBonds < 6']
174,175,True,['RotBonds < 6']
175,176,True,['LogP > 5']
176,177,True,['RotBonds < 6']
177,178,True,['RotBonds < 6']
178,179,True,['RotBonds < 6']
179,180,True,['RotBonds < 6']
180,181,True,[]
181,182,True,[]
182,183,True,['RotBonds < 6']
183,184,True,['RotBonds < 6']
184,185,True,['RotBonds < 6']
185,186,True,['RotBonds < 6']
186,187,True,['RotBonds < 6']
187,188,True,['RotBonds < 6']
188,189,True,['RotBonds < 6']
189,190,True,['RotBonds < 6']
190,191,True,['RotBonds < 6']
191,192,True,[]
192,193,True,[]
193,194,True,[]
194,195,True,[]
195,196,True,['RotBonds < 6']
196,197,True,[]
197,198,True,['RotBonds < 6']
198,199,True,['RotBonds < 6']
199,200,True,['RotBonds < 6']
200,201,True,['RotBonds < 6']
201,202,True,['RotBonds < 6']
202,203,True,['RotBonds < 6']
203,204,True,['RotBonds < 6']
204,205,True,['RotBonds < 6']
205,206,True,['RotBonds < 6']
206,207,True,['RotBonds < 6']
207,208,True,['RotBonds < 6']
208,209,True,['RotBonds < 6']
209,210,True,['RotBonds < 6']
210,211,True,['RotBonds < 6']
211,212,True,['RotBonds < 6']
212,213,True,['RotBonds < 6']
213,214,True,['RotBonds < 6']
214,215,True,['RotBonds < 6']
215,216,True,['RotBonds < 6']
216,217,True,['RotBonds < 6']
217,218,True,[]
218,219,True,['RotBonds < 6']
219,220,True,['RotBonds < 6']
220,221,True,['RotBonds < 6']
221,222,True,['RotBonds < 6']
