,Compound,Suitable,Violations
0,1,True,['LogP > 5']
1,2,True,['RotBonds < 6']
2,3,True,['RotBonds < 6']
3,4,True,['RotBonds < 6']
4,5,True,['RotBonds < 6']
5,6,True,['RotBonds < 6']
6,7,True,['RotBonds < 6']
7,8,False,"['LogP > 5', 'RotBonds < 6']"
8,9,True,['RotBonds < 6']
9,10,True,['RotBonds < 6']
10,11,True,['RotBonds < 6']
11,12,True,['RotBonds < 6']
12,13,True,['RotBonds < 6']
13,14,True,['MW > 500']
14,15,True,['RotBonds < 6']
15,16,True,['RotBonds < 6']
16,17,True,['RotBonds < 6']
17,18,False,"['MW > 500', 'RotBonds < 6']"
18,19,True,['RotBonds < 6']
19,20,False,"['MW > 500', 'RotBonds < 6']"
20,21,True,['RotBonds < 6']
21,22,True,['RotBonds < 6']
22,23,True,['RotBonds < 6']
23,24,True,['RotBonds < 6']
24,25,True,['RotBonds < 6']
25,26,True,['RotBonds < 6']
26,27,True,['RotBonds < 6']
27,28,True,['RotBonds < 6']
28,29,True,['RotBonds < 6']
29,30,True,['RotBonds < 6']
30,31,True,['RotBonds < 6']
31,32,True,['RotBonds < 6']
32,33,True,['RotBonds < 6']
33,34,True,['RotBonds < 6']
34,35,True,['RotBonds < 6']
35,36,True,[]
36,37,False,"['MW > 500', 'HBA > 10', 'TPSA > 140']"
37,38,True,['RotBonds < 6']
38,39,True,['RotBonds < 6']
39,40,True,['RotBonds < 6']
40,41,True,['RotBonds < 6']
41,42,True,['RotBonds < 6']
42,43,True,['RotBonds < 6']
43,44,True,['RotBonds < 6']
44,45,True,['RotBonds < 6']
45,46,True,['RotBonds < 6']
46,47,True,['RotBonds < 6']
47,48,True,['RotBonds < 6']
48,49,True,['RotBonds < 6']
49,50,False,"['LogP > 5', 'RotBonds < 6']"
50,51,True,[]
51,52,True,['RotBonds < 6']
52,53,True,['RotBonds < 6']
53,54,True,['RotBonds < 6']
54,55,True,['RotBonds < 6']
55,56,True,['LogP > 5']
56,57,True,['RotBonds < 6']
57,58,False,"['MW > 500', 'TPSA > 140']"
58,59,True,[]
59,60,True,['RotBonds < 6']
60,61,True,['RotBonds < 6']
61,62,True,['RotBonds < 6']
62,63,True,['RotBonds < 6']
63,64,True,['RotBonds < 6']
64,65,True,['RotBonds < 6']
65,66,True,['RotBonds < 6']
66,67,True,['RotBonds < 6']
67,68,True,['RotBonds < 6']
68,69,True,['RotBonds < 6']
69,70,True,['RotBonds < 6']
70,71,True,['RotBonds < 6']
71,72,True,['RotBonds < 6']
72,73,True,['RotBonds < 6']
73,74,True,['RotBonds < 6']
74,75,True,['RotBonds < 6']
75,76,True,['RotBonds < 6']
76,77,True,['RotBonds < 6']
77,78,True,['RotBonds < 6']
78,79,True,['RotBonds < 6']
79,80,True,['RotBonds < 6']
80,81,True,['RotBonds < 6']
81,82,True,['RotBonds < 6']
82,83,True,['RotBonds < 6']
83,84,True,['RotBonds < 6']
84,85,True,['RotBonds < 6']
85,86,True,['RotBonds < 6']
86,87,True,['RotBonds < 6']
87,88,True,['RotBonds < 6']
88,89,True,['RotBonds < 6']
89,90,True,['RotBonds < 6']
90,91,True,['RotBonds < 6']
91,92,True,['RotBonds < 6']
92,93,True,[]
93,94,True,['LogP > 5']
94,95,True,['RotBonds < 6']
95,96,True,[]
96,97,True,[]
97,98,True,[]
98,99,True,[]
99,100,True,[]
100,101,True,['RotBonds < 6']
101,102,True,[]
102,103,True,[]
103,104,True,['RotBonds < 6']
104,105,True,['RotBonds < 6']
105,106,True,['RotBonds < 6']
106,107,True,['RotBonds < 6']
107,108,True,['RotBonds < 6']
108,109,True,['RotBonds < 6']
109,110,True,['RotBonds < 6']
110,111,True,['RotBonds < 6']
111,112,True,['RotBonds < 6']
112,113,False,"['LogP > 5', 'RotBonds < 6']"
113,114,True,['RotBonds < 6']
114,115,True,['RotBonds < 6']
115,116,True,['RotBonds < 6']
116,117,True,['TPSA > 140']
117,118,True,[]
118,119,True,['RotBonds < 6']
119,120,True,['RotBonds < 6']
120,121,True,['RotBonds < 6']
121,122,True,['RotBonds < 6']
122,123,True,['RotBonds < 6']
123,124,True,['RotBonds < 6']
124,125,True,['RotBonds < 6']
125,126,True,['RotBonds < 6']
126,127,True,['RotBonds < 6']
127,128,True,['RotBonds < 6']
128,129,True,['RotBonds < 6']
129,130,True,['RotBonds < 6']
130,131,True,['RotBonds < 6']
131,132,True,['RotBonds < 6']
132,133,True,['RotBonds < 6']
133,134,True,['RotBonds < 6']
134,135,True,['RotBonds < 6']
135,136,True,['RotBonds < 6']
136,137,True,['RotBonds < 6']
137,138,True,[]
138,139,True,['RotBonds < 6']
139,140,True,['RotBonds < 6']
140,141,True,[]
141,142,True,['RotBonds < 6']
142,143,True,['RotBonds < 6']
143,144,True,['RotBonds < 6']
144,145,True,['RotBonds < 6']
145,146,True,['RotBonds < 6']
146,147,True,['RotBonds < 6']
147,148,True,['RotBonds < 6']
148,149,True,['RotBonds < 6']
149,150,True,['RotBonds < 6']
150,151,True,['RotBonds < 6']
151,152,True,['RotBonds < 6']
152,153,True,['RotBonds < 6']
153,154,True,['RotBonds < 6']
154,155,True,['RotBonds < 6']
155,156,True,['RotBonds < 6']
156,157,True,['RotBonds < 6']
157,158,True,['RotBonds < 6']
158,159,True,['RotBonds < 6']
159,160,True,['RotBonds < 6']
160,161,True,[]
161,162,True,['RotBonds < 6']
162,163,True,['RotBonds < 6']
163,164,True,['RotBonds < 6']
164,165,True,['RotBonds < 6']
165,166,True,[]
166,167,True,['RotBonds < 6']
167,168,True,['RotBonds < 6']
168,169,True,['RotBonds < 6']
169,170,True,['RotBonds < 6']
170,171,True,[]
171,172,True,['RotBonds < 6']
172,173,True,['RotBonds < 6']
173,174,True,['RotBonds < 6']
174,175,True,[]
175,176,True,['RotBonds < 6']
176,177,True,['RotBonds < 6']
177,178,True,['RotBonds < 6']
178,179,True,['RotBonds < 6']
179,180,True,['RotBonds < 6']
180,181,True,['RotBonds < 6']
181,182,True,['RotBonds < 6']
182,183,True,['RotBonds < 6']
183,184,True,['RotBonds < 6']
184,185,True,['RotBonds < 6']
185,186,True,['RotBonds < 6']
186,187,True,['RotBonds < 6']
187,188,True,['RotBonds < 6']
188,189,True,[]
189,190,True,['RotBonds < 6']
190,191,True,[]
191,192,True,['RotBonds < 6']
192,193,True,[]
193,194,True,[]
194,195,True,[]
195,196,True,[]
196,197,True,[]
197,198,True,[]
198,199,True,[]
199,200,True,[]
200,201,True,['RotBonds < 6']
201,202,True,[]
202,203,True,[]
203,204,True,['RotBonds < 6']
204,205,True,['RotBonds < 6']
205,206,True,['RotBonds < 6']
206,207,True,['RotBonds < 6']
207,208,True,['RotBonds < 6']
208,209,True,['RotBonds < 6']
209,210,True,['RotBonds < 6']
210,211,True,['RotBonds < 6']
211,212,True,['RotBonds < 6']
212,213,True,['RotBonds < 6']
213,214,True,[]
214,215,True,[]
215,216,True,[]
216,217,True,['RotBonds < 6']
217,218,True,['RotBonds < 6']
218,219,True,[]
219,220,True,[]
220,221,True,[]
221,222,True,['RotBonds < 6']
222,223,True,['RotBonds < 6']
223,224,True,['RotBonds < 6']
224,225,True,['RotBonds < 6']
225,226,True,['RotBonds < 6']
226,227,True,[]
227,228,True,['RotBonds < 6']
228,229,True,[]
229,230,True,[]
230,231,True,['RotBonds < 6']
231,232,True,['RotBonds < 6']
232,233,True,['RotBonds < 6']
233,234,True,['RotBonds < 6']
234,235,True,['RotBonds < 6']
235,236,True,['RotBonds < 6']
236,237,False,"['MW > 500', 'LogP > 5']"
237,238,True,['RotBonds < 6']
238,239,True,['RotBonds < 6']
239,240,True,['RotBonds < 6']
240,241,True,[]
241,242,True,['RotBonds < 6']
242,243,True,[]
243,244,True,['RotBonds < 6']
244,245,True,['RotBonds < 6']
245,246,True,['RotBonds < 6']
246,247,True,['RotBonds < 6']
247,248,True,['RotBonds < 6']
248,249,True,['RotBonds < 6']
249,250,True,['RotBonds < 6']
250,251,True,['RotBonds < 6']
251,252,True,['RotBonds < 6']
252,253,True,['MW > 500']
253,254,True,['RotBonds < 6']
254,255,True,['RotBonds < 6']
255,256,True,['RotBonds < 6']
256,257,True,['RotBonds < 6']
257,258,False,"['MW > 500', 'LogP > 5']"
258,259,True,['RotBonds < 6']
259,260,True,['RotBonds < 6']
260,261,True,['RotBonds < 6']
261,262,True,['RotBonds < 6']
262,263,True,['RotBonds < 6']
263,264,True,['RotBonds < 6']
264,265,True,[]
265,266,True,['RotBonds < 6']
266,267,True,['RotBonds < 6']
267,268,True,['RotBonds < 6']
268,269,True,['RotBonds < 6']
269,270,True,[]
270,271,True,['RotBonds < 6']
271,272,True,[]
272,273,True,['RotBonds < 6']
273,274,True,['RotBonds < 6']
274,275,True,['LogP > 5']
275,276,True,[]
276,277,True,[]
277,278,True,[]
278,279,True,['LogP > 5']
279,280,True,[]
280,281,True,['RotBonds < 6']
281,282,True,[]
282,283,True,['RotBonds < 6']
283,284,True,['RotBonds < 6']
284,285,True,['RotBonds < 6']
285,286,True,['RotBonds < 6']
286,287,True,['RotBonds < 6']
287,288,True,[]
288,289,True,['RotBonds < 6']
289,290,True,['RotBonds < 6']
290,291,True,['RotBonds < 6']
291,292,True,['RotBonds < 6']
292,293,True,['RotBonds < 6']
293,294,True,['RotBonds < 6']
294,295,True,[]
295,296,True,[]
296,297,True,[]
297,298,True,[]
298,299,True,[]
299,300,True,['RotBonds < 6']
300,301,True,['RotBonds < 6']
301,302,True,['RotBonds < 6']
302,303,True,['RotBonds < 6']
303,304,True,['RotBonds < 6']
304,305,True,['RotBonds < 6']
305,306,True,['RotBonds < 6']
306,307,True,['RotBonds < 6']
307,308,True,['RotBonds < 6']
308,309,True,['RotBonds < 6']
309,310,True,[]
310,311,True,[]
311,312,True,[]
312,313,True,['RotBonds < 6']
313,314,True,['RotBonds < 6']
314,315,True,['RotBonds < 6']
315,316,True,['RotBonds < 6']
316,317,True,['RotBonds < 6']
317,318,True,['RotBonds < 6']
318,319,True,['RotBonds < 6']
319,320,True,['RotBonds < 6']
320,321,True,['RotBonds < 6']
321,322,True,[]
322,323,False,"['MW > 500', 'RotBonds < 6']"
323,324,True,['RotBonds < 6']
324,325,True,['RotBonds < 6']
325,326,True,['RotBonds < 6']
326,327,True,['RotBonds < 6']
327,328,True,[]
328,329,True,['RotBonds < 6']
329,330,True,['RotBonds < 6']
330,331,True,['RotBonds < 6']
331,332,True,['RotBonds < 6']
332,333,True,['RotBonds < 6']
333,334,True,['RotBonds < 6']
334,335,False,"['MW > 500', 'HBA > 10', 'TPSA > 140']"
335,336,True,['RotBonds < 6']
336,337,True,['LogP > 5']
337,338,True,['RotBonds < 6']
338,339,True,['RotBonds < 6']
339,340,True,[]
340,341,True,[]
341,342,True,['RotBonds < 6']
342,343,True,['RotBonds < 6']
343,344,True,['RotBonds < 6']
344,345,True,['RotBonds < 6']
345,346,True,['RotBonds < 6']
346,347,True,['RotBonds < 6']
347,348,True,['RotBonds < 6']
348,349,True,['RotBonds < 6']
349,350,True,['RotBonds < 6']
350,351,True,['LogP > 5']
351,352,True,['RotBonds < 6']
352,353,True,['RotBonds < 6']
353,354,True,['RotBonds < 6']
354,355,True,['RotBonds < 6']
355,356,True,['RotBonds < 6']
356,357,True,['RotBonds < 6']
357,358,True,['RotBonds < 6']
358,359,True,['RotBonds < 6']
359,360,True,['RotBonds < 6']
360,361,True,['RotBonds < 6']
361,362,True,['RotBonds < 6']
362,363,True,['RotBonds < 6']
363,364,True,['RotBonds < 6']
364,365,True,[]
365,366,True,[]
366,367,True,[]
367,368,True,['RotBonds < 6']
368,369,False,"['LogP > 5', 'RotBonds < 6']"
369,370,False,"['RotBonds < 6', 'TPSA > 140']"
370,371,False,"['RotBonds < 6', 'TPSA > 140']"
371,372,False,"['RotBonds < 6', 'TPSA > 140']"
372,373,False,"['HBD > 5', 'RotBonds < 6', 'TPSA > 140']"
373,374,True,['RotBonds < 6']
